ou_mean,ou_std,PV4_V_num_-200_0,PV4_V_mean_-200_0,PV4_V_median_-200_0,PV4_V_num_-200_-70,PV4_V_mean_-200_-70,PV4_V_median_-200_-70,PV4_V_num_-70_-50,PV4_V_mean_-70_-50,PV4_V_median_-70_-50,PV4_V_num_-50_0,PV4_V_mean_-50_0,PV4_V_median_-50_0
0.0118571428571428,0.0064285714285714,795595,-52.70998234890484,-53.212082584592565,1664,-72.62485600658505,-71.83709257703956,620095,-55.04524529551894,-54.392427866978785,173836,-44.18917407762005,-47.43453398158576
0.0184285714285714,0.0042857142857142,721741,-45.190759404647004,-47.83663262634216,0,,,171160,-52.521088578773735,-51.54332846159808,550581,-42.91196819782452,-46.71154968749922
0.002,0.0107142857142857,799990,-73.38972512281279,-70.86756997923872,420181,-83.82045573350811,-80.94514990790104,375387,-62.03164953899321,-62.42810249288555,4422,-46.451484609630015,-48.32139939074142
0.002,0.0128571428571428,799990,-74.97551083822691,-71.69975066178839,432571,-87.11155236864509,-83.60437770783297,353639,-61.263916262940256,-61.54098244755919,13780,-45.8938688320813,-47.82507212711229
0.0085714285714285,0.0107142857142857,799320,-59.626848544199035,-58.35995626029542,107974,-77.8132796815418,-75.49127760314221,597009,-58.72667344644059,-58.180385075242484,94337,-44.50818799016634,-46.65828808406001
0.025,0.0,688298,-42.22239054446901,-44.88644699077535,0,,,66478,-54.101214223811915,-54.503598885030925,621820,-40.95244033290398,-44.41036345595345
0.0184285714285714,0.0,716298,-44.77220308422773,-47.56368698917136,0,,,64342,-54.629818024312755,-55.06727420276874,651956,-43.79934807487903,-47.20972473265263
0.002,0.0021428571428571,799990,-68.83347529873824,-68.70557048412542,251968,-71.88795154151633,-71.47553375927937,548022,-67.42909687973257,-67.66532107095018,0,,
0.0217142857142857,0.0107142857142857,720464,-45.059346185446834,-47.038765896908714,684,-74.34759712368258,-72.42706284220847,213222,-53.9935687012201,-53.24358916023216,506558,-41.25917728692001,-44.84374907664108
0.0085714285714285,0.0128571428571428,798780,-60.7564288440515,-58.838688830076975,153240,-80.32974492841568,-77.32621331396172,525432,-58.837963769503006,-58.30855768131522,120108,-44.17641739004517,-45.95920488650602
0.002,0.0042857142857142,799990,-69.5056682011021,-69.00033964775105,341649,-74.51604880621953,-73.57518963496234,458341,-65.77091280422998,-66.15711114308898,0,,
0.0151428571428571,0.0064285714285714,765068,-48.33606020597114,-50.15400042802244,93,-73.34816397849141,-72.70141623416099,394222,-53.43847079949919,-52.76859179492954,370753,-42.904388352600684,-46.965167136722386
0.0151428571428571,0.015,779624,-52.33117075229426,-51.7441344888513,54185,-79.48066795437725,-76.73267491922668,397780,-57.046958725306446,-56.043667847668594,327659,-42.11646080750512,-44.38784867627212
0.0118571428571428,0.0021428571428571,799943,-52.78795982616071,-52.79853499222588,0,,,784278,-52.893353242264645,-52.831412335713964,15665,-47.511372683157916,-49.520717623109434
0.0184285714285714,0.0064285714285714,728736,-45.730344648400724,-48.11232826868792,0,,,227039,-52.91760683480875,-52.17666541280785,501697,-42.477806125069144,-46.381570555340794
0.025,0.0064285714285714,693364,-42.57973578859044,-45.06432653558983,0,,,86135,-53.439848599831315,-53.351866810850105,607229,-41.039236542019175,-44.371660573579675
0.0118571428571428,0.015,792861,-56.637577043203926,-54.98884497658275,107009,-80.99891898966189,-77.66742894185396,451451,-57.96901784522717,-57.143855545642296,234401,-42.95178593368336,-44.67032773998536
0.0151428571428571,0.0128571428571428,777342,-51.15049145779512,-51.31752003031502,30333,-77.24788965454498,-75.1742913191076,412929,-56.430347180112385,-55.4160527201952,334080,-42.2549636708496,-44.94247092303012
0.0085714285714285,0.0042857142857142,799990,-57.64305393811582,-57.37945363347835,1111,-71.70518683099692,-71.08784734345573,797011,-57.64744560944688,-57.383404844550995,1868,-47.40577342246325,-49.31735071026808
0.0184285714285714,0.0128571428571428,752503,-48.06276690557003,-49.044067055570196,12093,-76.0584782191855,-74.17847154110841,322621,-55.484883049253234,-54.481683393128115,417789,-41.520989431039155,-44.795324314764244
0.025,0.0107142857142857,702743,-43.42124040554217,-45.5773520339549,150,-75.04546813355059,-73.7677582797032,147784,-53.6127376330992,-53.081499911087995,554809,-40.697989952798096,-44.08650925871592
0.0151428571428571,0.0,742205,-46.8551801080226,-49.203212429926886,0,,,278165,-51.88334907411459,-51.36394513840801,464040,-43.84108515833514,-48.167520991052946
0.0184285714285714,0.0107142857142857,745555,-47.15255261344323,-48.72514142829042,3280,-74.22821774181648,-72.81439826604361,304901,-54.61944004323808,-53.68742458906321,437374,-41.744207293755885,-45.35021969808269
