ou_mean,ou_std,PV4_r,PV4_cv
0.022,0.0023684210526315,141.2002688172043,0.049562381205531095
0.036,0.0102631578947368,175.46102150537635,0.15444259941091767
0.012,0.0047368421052631,5.010752688172043,1.3131756603739622
0.012,0.0063157894736842,7.723118279569892,1.383435661929962
0.034,0.0023684210526315,170.9233870967742,0.018634085563185698
0.034,0.0078947368421052,169.19892473118279,0.08973755361430764
0.004,0.0023684210526315,0.0,
0.006,0.0007894736842105,0.0,
0.006,0.0134210526315789,0.31451612903225806,1.1366404008451587
0.002,0.0031578947368421,0.0,
0.038,0.0063157894736842,177.92741935483872,0.08003661586220238
0.03,0.0031578947368421,163.54435483870967,0.03175575091865307
0.014,0.0126315789473684,25.482526881720432,1.4740679805008483
0.006,0.0039473684210526,0.0,
0.022,0.0094736842105263,125.00403225806451,0.39629408060120574
0.018,0.0039473684210526,115.11290322580645,0.20228918015899292
0.006,0.0094736842105263,0.020161290322580645,
0.014,0.0118421052631578,26.365591397849464,1.4651164945403254
0.032,0.0039473684210526,167.05107526881721,0.03540214734728739
0.024,0.0039473684210526,147.24059139784947,0.07023723783482863
0.022,0.0086842105263157,128.0215053763441,0.33063737254194425
0.028,0.0094736842105263,152.27956989247312,0.16119939080928122
0.02,0.0126315789473684,90.91129032258064,0.9099832624622143
0.034,0.0126315789473684,169.0040322580645,0.20743619808651054
0.036,0.0110526315789473,175.85752688172042,0.17239387856940766
0.024,0.0007894736842105,149.11021505376345,0.013033050494234966
0.018,0.0086842105263157,89.8252688172043,0.7832061424269661
0.04,0.0086842105263157,187.32392473118279,0.15356950395173127
0.014,0.0086842105263157,30.391129032258064,1.374092335503672
0.024,0.0134210526315789,122.11962365591398,0.5752172771759384
0.006,0.0063157894736842,0.0013440860215053765,
0.026,0.0039473684210526,153.48924731182797,0.05684205277143738
0.016,0.015,39.513440860215056,1.4280251339009902
0.016,0.0039473684210526,89.31854838709677,0.48586681416028143
0.03,0.0039473684210526,163.18145161290323,0.040631183911509626
0.01,0.0086842105263157,1.8951612903225807,1.2521418250517162
0.026,0.015,128.81586021505376,0.5601664729051405
0.026,0.0102631578947368,143.63440860215053,0.23811330622395024
0.006,0.0023684210526315,0.0,
0.008,0.0031578947368421,0.0,
0.018,0.0063157894736842,104.14516129032258,0.4839112655677825
0.008,0.0055263157894736,0.006720430107526882,
0.008,0.0118421052631578,0.8521505376344086,1.1044608997631475
0.03,0.0086842105263157,159.13575268817203,0.11729841595820133
0.012,0.0039473684210526,3.1841397849462365,1.2524833174737042
0.01,0.0110526315789473,3.2701612903225805,1.3629991117681348
0.008,0.0,0.0,
0.006,0.0102631578947368,0.041666666666666664,
0.04,0.0063157894736842,183.5779569892473,0.10256861204676306
0.024,0.0126315789473684,125.49596774193549,0.5108997209814808
0.014,0.0063157894736842,34.25806451612903,1.2627382122185722
0.028,0.0110526315789473,149.56182795698925,0.21870647634795456
0.008,0.0126315789473684,1.0806451612903225,1.1284757665683338
0.028,0.0118421052631578,148.1209677419355,0.25372124648685124
0.018,0.001578947368421,120.54032258064517,0.061539615747008364
0.038,0.0086842105263157,180.52956989247312,0.13459858442602865
0.002,0.0078947368421052,0.0,
0.004,0.0142105263157894,0.08602150537634409,1.041311340527184
0.01,0.0047368421052631,0.08198924731182795,
0.004,0.0102631578947368,0.005376344086021506,
0.036,0.0007894736842105,174.127688172043,0.006619475093897889
0.034,0.0047368421052631,170.13037634408602,0.03897694585878114
0.038,0.0071052631578947,178.75,0.09888930788978796
0.01,0.015,5.060483870967742,1.4545074105206228
0.018,0.0126315789473684,68.63575268817205,1.1328640224591875
0.02,0.0055263157894736,125.54166666666667,0.20907409334939897
0.01,0.0118421052631578,3.6330645161290325,1.4001317950761163
0.026,0.0142105263157894,131.92741935483872,0.494896639828587
0.002,0.0094736842105263,0.0013440860215053765,
0.036,0.0071052631578947,173.6209677419355,0.08165935939504183
0.032,0.0031578947368421,167.34139784946237,0.027806402318493136
0.02,0.015,79.08064516129032,1.087529745442303
0.032,0.001578947368421,167.74327956989248,0.013917364619555495
0.034,0.0134210526315789,168.85887096774192,0.23047551379385822
0.018,0.0118421052631578,72.33870967741936,1.079740537115528
0.004,0.0007894736842105,0.0,
0.04,0.0047368421052631,181.19354838709677,0.06069434858820098
0.034,0.0007894736842105,171.1209677419355,0.00702516777678932
0.01,0.0007894736842105,0.0,
0.04,0.001578947368421,179.7970430107527,0.011003671475509316
0.032,0.0134210526315789,161.31182795698925,0.24520063782554533
0.03,0.0102631578947368,157.39112903225808,0.16020597604320083
0.002,0.0102631578947368,0.0,
0.028,0.0134210526315789,144.7231182795699,0.34136891668891967
0.022,0.0063157894736842,134.99059139784947,0.17925219387785013
0.014,0.0055263157894736,35.68682795698925,1.210728957597989
0.004,0.001578947368421,0.0,
0.016,0.001578947368421,101.79704301075269,0.1128050847000853
0.018,0.0007894736842105,121.24193548387096,0.02979430375171283
0.026,0.0031578947368421,154.05779569892474,0.043997265828052086
0.034,0.0,171.125,0.003163935285344696
0.002,0.0023684210526315,0.0,
0.004,0.0055263157894736,0.0,
0.026,0.0047368421052631,152.80779569892474,0.07080949026894859
0.014,0.015,23.254032258064516,1.506229272228591
0.034,0.0071052631578947,169.33467741935485,0.07362793631212082
0.036,0.0118421052631578,176.11962365591398,0.19001042609644186
0.04,0.0118421052631578,190.86155913978496,0.20888928007244079
0.016,0.0031578947368421,94.81048387096774,0.3300399705569878
