ou_mean,ou_std,PV4_V_num_-200_0,PV4_V_mean_-200_0,PV4_V_median_-200_0,PV4_V_num_-200_-70,PV4_V_mean_-200_-70,PV4_V_median_-200_-70,PV4_V_num_-70_-50,PV4_V_mean_-70_-50,PV4_V_median_-70_-50,PV4_V_num_-50_0,PV4_V_mean_-50_0,PV4_V_median_-50_0
0.024,0.0118421052631578,284260,-44.159420747525225,-46.1261486469668,311,-73.70766390687068,-72.60074446012568,72263,-54.04970076060326,-53.4122304854654,211686,-40.73977651877314,-44.18241407571017
0.002,0.0007894736842105,319996,-68.6345039775902,-68.62047215497196,27043,-70.46729692431109,-70.35790801522487,292953,-68.46531567892735,-68.51148392790212,0,,
0.006,0.0110526315789473,319966,-64.54067331341601,-62.490549230868325,86032,-79.85976346827503,-77.31437638594437,216975,-59.96626862286025,-59.75135736850131,16959,-45.35319135873163,-47.41811646696962
0.018,0.0102631578947368,298727,-47.216867809155076,-48.86776071904508,852,-73.63343157116772,-72.06062763491116,124868,-54.519725394321895,-53.60537895524315,173007,-41.815929504520895,-45.474874239292745
0.034,0.0094736842105263,267526,-40.107519866634156,-42.30438167011238,0,,,29607,-53.36265394917688,-53.440857785412256,237919,-38.45803094485053,-41.5494621121208
0.016,0.0134210526315789,308576,-50.40741272015143,-50.69360631784727,11145,-76.99656080965201,-74.99270437701576,154246,-56.35235393887482,-55.31790232985122,143185,-41.933623854832504,-44.68248913749352
0.04,0.0071052631578947,260468,-38.43749857560114,-40.406676793008465,0,,,28220,-53.0443576197623,-53.022683619230335,232248,-36.66264771692322,-39.653034925595406
0.028,0.0055263157894736,272812,-41.49947502017909,-43.932519851205655,0,,,27256,-53.70118362286424,-54.047016031060934,245556,-40.145120943411314,-43.372435076262406
0.012,0.0134210526315789,316709,-55.406886008052005,-54.40859090429701,31559,-78.85963289254299,-76.38955937528681,190041,-57.71913749741527,-56.861483155311326,95109,-43.00461257212339,-45.02202155225503
0.032,0.0007894736842105,267833,-40.18735581004327,-42.525490979429215,0,,,26234,-53.34976354615618,-53.72214248938184,241599,-38.75811725959734,-41.97469581429236
0.02,0.0047368421052631,285168,-44.42058280047501,-47.051457391240135,0,,,53124,-52.85172957668318,-51.87106605418093,232044,-42.49036162975186,-46.13708747568469
0.018,0.0110526315789473,299966,-47.545439859211506,-48.97611473994453,1623,-74.14755884658605,-72.88972020117285,128417,-54.88048203846068,-53.91060174599683,169926,-41.748096600091934,-45.261322548389956
0.032,0.0102631578947368,270227,-40.78759601514866,-42.99133022817514,0,,,33144,-53.39029701822578,-53.39245756110471,237083,-39.0257492271209,-42.136308391266404
0.024,0.0102631578947368,282272,-43.72266376519245,-45.887260450413166,51,-71.53753501692124,-71.41567969270405,62288,-53.6278685307398,-53.08392147953619,219933,-40.910925859238134,-44.36470760709432
0.02,0.0094736842105263,291106,-45.64591625539935,-47.6899954352604,150,-73.05338953140806,-73.05892990341769,94720,-53.81261514325901,-53.05287887084575,196236,-41.68303054814142,-45.39043744709322
0.024,0.0063157894736842,278816,-42.93796028991764,-45.44546159576099,0,,,37313,-53.35419265769571,-53.079633844466215,241503,-41.328618466673625,-44.705248937116934
0.034,0.0110526315789473,267947,-40.39500456554812,-42.571911183655324,0,,,34426,-53.4897511888096,-53.391034718493685,233521,-38.4645582791225,-41.61336499385467
0.004,0.0,319996,-64.43072494584085,-64.43071235208787,0,,,319996,-64.43072494584085,-64.43071235208787,0,,
0.024,0.001578947368421,276769,-42.56433395353585,-45.26141494699739,0,,,26422,-54.21605183865174,-54.6452377420803,250347,-41.334594072648386,-44.79543577516213
0.038,0.015,263981,-40.326148207921754,-42.38879808192017,22,-70.78508182212073,-70.65044806457121,45452,-54.124445588024095,-53.6542583446916,218507,-37.4528749990089,-40.745058231063304
0.038,0.0142105263157894,263599,-40.17357358799228,-42.24897671199344,0,,,42849,-54.01865579596552,-53.61243020065154,220750,-37.4861537577343,-40.76592298792316
0.002,0.0110526315789473,319996,-73.53641230043276,-70.8945226048222,167705,-84.47227743376048,-81.6801024743036,149549,-61.77545393191586,-62.151788110183325,2742,-46.12587286520704,-47.95969740737531
0.006,0.0055263157894736,319996,-61.92440757465967,-61.348267846293865,22385,-73.29175230796572,-72.44233209097156,297342,-61.082112999881375,-60.913214388737636,269,-47.02307522770096,-49.24483162080872
0.018,0.015,304316,-49.35260865120378,-49.60915545181782,11343,-77.69937311505579,-75.46746535484101,134928,-56.265757320648746,-55.22793730184231,158045,-41.41616856778233,-44.226129392745904
0.032,0.0055263157894736,268531,-40.29895122588573,-42.59255217652456,0,,,26061,-53.379033856427526,-53.695377815108884,242470,-38.893086444945624,-42.03132948881425
0.022,0.0102631578947368,286611,-44.6889733188517,-46.78494067129848,169,-72.98312531215824,-72.94077550420894,78391,-53.77553767957515,-53.11977278205296,208051,-41.24228679252719,-44.8231886724716
0.032,0.015,273124,-41.84866244260973,-43.84268774867225,264,-73.94917045403224,-73.07773194640231,53141,-54.08472275108124,-53.61313664248325,219719,-38.85069223990766,-42.141764544716466
0.008,0.0094736842105263,319927,-60.011472513141875,-58.88913904144496,39238,-76.49438622579876,-74.69990120538358,255709,-58.955034017267515,-58.45794467773165,24980,-44.934781683850986,-47.21461770637319
0.02,0.0031578947368421,284040,-44.195403579392206,-46.95315875421079,0,,,39064,-53.24887728474137,-52.420145663659255,244976,-42.751731967374035,-46.32134638842484
0.018,0.0031578947368421,288654,-45.2223851286718,-47.92217264212662,0,,,64221,-52.42337498040628,-51.276592051284865,224433,-43.16183801987656,-46.951694790129956
0.008,0.015,319418,-63.01745497489893,-60.09850348544855,84678,-83.43120355312567,-79.95447114334232,182563,-59.00457039680796,-58.47911114504354,52177,-43.928753921234296,-45.34287342454755
0.03,0.0118421052631578,273973,-41.74416796766157,-43.88866090868912,13,-70.44935551968382,-70.52166941388587,43783,-53.53912001819444,-53.30253151413917,230177,-39.498975993369385,-42.6744929893976
0.026,0.0126315789473684,281209,-43.46119963873534,-45.416055589759644,304,-73.62695959006214,-72.51741526903663,64494,-54.04851371611277,-53.474347072060766,216411,-40.26363285547761,-43.62799907007232
0.012,0.0071052631578947,317505,-52.616935692593046,-53.1487659390557,1153,-72.78782933268837,-71.93785579638468,237978,-55.372027197202485,-54.63259206811286,78374,-43.954519502900396,-47.16725567469569
0.032,0.0110526315789473,270565,-40.8986345562964,-43.07611402920175,0,,,35642,-53.43593767993897,-53.36956327007701,234923,-38.996502547370646,-42.12489236560494
0.002,0.0055263157894736,319996,-70.01513190905636,-69.20349046178491,146125,-76.22072537215958,-74.98030500282448,173871,-64.79981512364672,-65.22818274038663,0,,
0.016,0.0078947368421052,303606,-48.00313189719803,-49.76528557116973,191,-72.40946711515187,-71.90183118858499,145580,-53.93440330146344,-53.16256462551925,157835,-42.502855652641486,-46.348583453498584
0.002,0.0063157894736842,319996,-70.43039952111087,-69.38765658920033,150711,-77.34342213363357,-75.8653208392224,169264,-64.277701966937,-64.71917590586642,21,-49.556487796320575,-49.60465416861052
0.03,0.0142105263157894,275728,-42.31758767118073,-44.32059378241676,268,-73.80287704751981,-72.95750815713524,55881,-54.025333844697236,-53.528951763275266,219579,-39.299636858602405,-42.581050483771186
0.026,0.0071052631578947,276272,-42.298260581113254,-44.72417234312703,0,,,34238,-53.40515411589317,-53.346802006403244,242034,-40.72708537083786,-43.997809867821275
