ou_mean,ou_std,IT2_V_num_-200_0,IT2_V_mean_-200_0,IT2_V_median_-200_0,IT2_V_num_-200_-70,IT2_V_mean_-200_-70,IT2_V_median_-200_-70,IT2_V_num_-70_-50,IT2_V_mean_-70_-50,IT2_V_median_-70_-50,IT2_V_num_-50_0,IT2_V_mean_-50_0,IT2_V_median_-50_0,IT3_V_num_-200_0,IT3_V_mean_-200_0,IT3_V_median_-200_0,IT3_V_num_-200_-70,IT3_V_mean_-200_-70,IT3_V_median_-200_-70,IT3_V_num_-70_-50,IT3_V_mean_-70_-50,IT3_V_median_-70_-50,IT3_V_num_-50_0,IT3_V_mean_-50_0,IT3_V_median_-50_0
0.0157894736842105,0.0084210526315789,315177,-63.30320395607314,-64.45288574355934,67161,-73.55682819914982,-72.96222325540516,229451,-62.47803925085192,-63.09545986275412,18565,-36.40803611273613,-41.908602511130674,316438,-63.57395947560921,-64.67024563568313,62351,-73.10547318802045,-72.51137605769526,238840,-62.77010468503878,-63.3983361887738,15247,-37.187999398038656,-42.750629313855136
-0.01,0.0105263157894736,319996,-103.30368727252076,-103.25024061208828,319983,-103.30506389023684,-103.25046887858869,13,-69.4195129153227,-69.3797376825658,0,,,319996,-101.28053623644286,-101.29147114232472,319996,-101.28053623644286,-101.29147114232472,0,,,0,,
0.0157894736842105,0.0031578947368421,315510,-61.71132526090105,-63.3343613050248,17372,-71.02629658890288,-70.784633007613,280832,-62.69319707952512,-63.332908439440764,17306,-36.427567692549964,-41.95820799405444,316694,-62.15615588829572,-63.4436122503478,22068,-71.0940075456912,-70.88414676675147,280277,-62.73032394007004,-63.230363579760684,14349,-37.19507083550045,-42.792425606758506
-0.0081578947368421,0.011578947368421,319996,-100.07238348819929,-100.01878728916995,319779,-100.09436625302138,-100.02736135749318,217,-67.67779108246584,-68.13521533379419,0,,,319996,-98.5970462845477,-98.60642017658604,319988,-98.59776901982617,-98.60659156652571,8,-69.68871924788877,-69.69844264993692,0,,
0.0231578947368421,0.0084210526315789,311970,-58.815192938660054,-60.56947287819716,15667,-72.13760981279762,-71.64817824468095,263324,-60.77265667172289,-61.002619904019014,32979,-36.85668949064293,-42.45248017824247,313452,-58.97111502132341,-60.635751365799685,12866,-72.06135882661462,-71.50284902073591,268585,-60.83808519109532,-61.12106172921633,32001,-38.0386672900942,-43.58749668636999
-0.0026315789473684,0.0010526315789473,319996,-91.05863620915275,-91.05185603060454,319996,-91.05863620915275,-91.05185603060454,0,,,0,,,319996,-90.31820233844564,-90.31620536580147,319996,-90.31820233844564,-90.31620536580147,0,,,0,,
-0.0026315789473684,0.0168421052631578,319742,-90.06899114638784,-90.03038703345973,297551,-92.05715739528523,-91.2005388140662,21301,-64.57857982815146,-65.73013945754475,890,-35.45145852176036,-40.70488018156098,319939,-89.96456509265339,-89.99680629361744,307586,-90.96361254006787,-90.56976904700264,12132,-65.61498825035001,-66.62268652905968,221,-36.19107228907081,-41.34458249682242
0.025,0.0063157894736842,311256,-57.2804281422171,-59.31516003892814,1947,-71.25450076521089,-70.80911023121713,273401,-59.86255562315459,-60.07946605067898,35908,-36.86258936498713,-42.443778908810245,312906,-57.527958494048235,-59.42510650437761,1593,-71.58088523238645,-71.16295939511085,277141,-59.8601727613034,-60.10228903068675,34172,-37.95817895127822,-43.52450093873834
-0.0007894736842105,0.0178947368421052,319433,-87.03035936945055,-86.8972902432424,283441,-90.13011493014027,-88.93748019972887,34052,-64.15716765754142,-65.25668890787577,1940,-35.62835333670722,-41.00568574791503,319829,-87.02463255927167,-87.0134743732165,296359,-88.84768226053673,-88.13574981540432,22818,-64.78642763847463,-65.84047273228194,652,-36.64759799721146,-42.15658669823358
-0.0044736842105263,0.0168421052631578,319880,-93.28567464193624,-93.20098922220222,306288,-94.57538767329358,-93.91340785960752,13203,-65.07982587138747,-66.11855440988786,389,-35.13193780177515,-40.38996668809513,319978,-92.86315662065587,-92.89423562544528,313193,-93.44599706309954,-93.19246701330525,6727,-66.21177308527136,-67.09307569449778,58,-36.69609372876642,-41.56596985265696
0.0157894736842105,0.02,313926,-67.27437241452486,-68.15829955733369,138825,-79.43841487657046,-77.85862978302852,146078,-61.7516918070001,-62.34626228613173,29023,-36.88705694033299,-41.8536177491482,315434,-67.18181027410421,-68.28318391264007,137503,-78.10997956443805,-76.5948543000866,152317,-62.32275467358316,-63.05990598845885,25614,-37.41139995067938,-41.923908839149
0.0157894736842105,0.0105263157894736,315022,-63.97270369526637,-64.99624114253984,83598,-74.56130601685282,-73.8264959621732,211949,-62.31762952016967,-62.91025539873657,19475,-36.53266977781243,-42.05897606394325,316273,-64.27215295884875,-65.39861591978918,81600,-73.83859180562179,-73.06566760303059,218250,-62.72800397037597,-63.46174649907937,16423,-37.26059032336797,-42.82546268992362
-0.0063157894736842,0.0031578947368421,319996,-97.56715225701325,-97.54838440466304,319996,-97.56715225701325,-97.54838440466304,0,,,0,,,319996,-96.09792304735598,-96.09596004628563,319996,-96.09792304735598,-96.09596004628563,0,,,0,,
0.0121052631578947,0.0073684210526315,316991,-65.42364196376055,-66.28706230592017,94857,-73.96957608715137,-73.27564355597883,210884,-63.137167561468736,-63.83123887384357,11250,-36.22712593802015,-41.71959685880185,318189,-65.58868601369754,-66.06481256965112,87140,-73.61877616690835,-73.0529290350249,223443,-63.43220784264794,-64.05364278338722,7606,-36.94128869882035,-42.51393655151322
0.025,0.0073684210526315,311198,-57.47237775493837,-59.48757410635611,5046,-71.49757985544707,-71.08038804920426,268865,-60.04785103378602,-60.22889646018217,37287,-37.00342629956405,-42.60126783570581,312810,-57.722884268446734,-59.529364166994945,3769,-71.51293690793383,-71.03662063620706,273910,-60.050028101538956,-60.267744337882164,35131,-38.099113931122936,-43.69302676473733
0.0010526315789473,0.0010526315789473,319996,-83.45482010416528,-83.44786523483168,319996,-83.45482010416528,-83.44786523483168,0,,,0,,,319996,-83.71858601594734,-83.71600813396431,319996,-83.71858601594734,-83.71600813396431,0,,,0,,
0.025,0.0084210526315789,311137,-57.793998240020215,-59.74221198421999,8813,-71.83752024304603,-71.3890261852702,264698,-60.280683280807516,-60.4479042281648,37626,-37.01086646042661,-42.600773425007894,312761,-57.9717672238221,-59.80426972282972,7136,-71.8354455160676,-71.34372148868087,269560,-60.2625911005135,-60.48906889650533,36065,-38.106366073277414,-43.66783841507322
-0.0007894736842105,0.0084210526315789,319996,-86.94191852912611,-86.89092148240987,317597,-87.08863279121394,-86.95560427125919,2399,-67.51882161528397,-68.29984399376899,0,,,319996,-87.11168940527457,-87.09624291855012,319675,-87.13026959223679,-87.10517035605719,321,-68.6081963611966,-68.91587462077844,0,,
0.006578947368421,0.0073684210526315,319607,-71.35450680467508,-71.39473463598299,188213,-75.61727466333829,-74.90824872820431,129996,-65.56465229100404,-66.3810594320818,1398,-35.83919949180455,-41.245351797956296,319964,-72.89229465034224,-72.89995540160544,228763,-75.32821849552008,-74.77592111872306,91075,-66.8244563116669,-67.50476989888209,126,-36.21872401891854,-42.02319796785726
