ou_mean,ou_std,IT5A_r,IT5A_cv
0.0057894736842105,0.0236842105263157,5.784818941504178,0.7083889111751445
0.0278947368421052,0.0189473684210526,0.13509749303621169,0.45011217158808237
0.0184210526315789,0.0078947368421052,18.838440111420613,0.18500286172594957
0.0121052631578947,0.0,10.25,0.00024058170911868114
0.0089473684210526,0.0078947368421052,6.446378830083566,0.40161819036012314
0.0152631578947368,0.0205263157894736,2.804317548746518,0.5540118239593308
-0.0036842105263157,0.0284210526315789,3.346100278551532,0.8892917260547115
0.0121052631578947,0.0063157894736842,10.79491643454039,0.20877863620856316
-0.0036842105263157,0.0142105263157894,0.034818941504178275,
0.0373684210526315,0.001578947368421,40.17931754874652,0.04202021234444621
0.0278947368421052,0.0078947368421052,26.29735376044568,0.23158708843263923
0.0184210526315789,0.001578947368421,18.19359331476323,0.0361142602457243
0.0121052631578947,0.0268421052631578,2.8133704735376046,0.6883984960192396
0.0405263157894736,0.0268421052631578,0.0,
0.0026315789473684,0.0252631578947368,5.703690807799443,0.7773930705633977
0.0342105263157894,0.001578947368421,36.57068245125348,0.03894973443124494
0.021578947368421,0.0078947368421052,22.301532033426184,0.1884958102635501
0.0247368421052631,0.0,25.5,0.0005358039522671969
0.0468421052631579,0.0126315789473684,0.028551532033426183,0.30518037858456026
0.0373684210526315,0.0157894736842105,0.11107242339832869,0.35477082642162594
0.0026315789473684,0.03,6.627089136490251,0.8653795295263278
0.0468421052631579,0.001578947368421,56.54456824512535,0.049144284838889524
-0.0036842105263157,0.0047368421052631,0.0,
0.0468421052631579,0.0078947368421052,15.341225626740947,0.20653693522979644
0.0026315789473684,0.0063157894736842,0.0010445682451253482,
0.0342105263157894,0.0142105263157894,0.7064763231197771,0.3555090749942412
0.0026315789473684,0.0221052631578947,4.792130919220056,0.7630877228919963
0.05,0.0221052631578947,0.0,
0.0089473684210526,0.0284210526315789,4.366991643454039,0.7651283356942081
0.0436842105263157,0.0252631578947368,0.0006963788300835655,
0.0152631578947368,0.0047368421052631,14.62291086350975,0.12113163149348592
0.0310526315789473,0.0252631578947368,0.03864902506963788,0.4331261729171441
0.0121052631578947,0.0284210526315789,2.6709610027855155,0.7435385658957624
0.0089473684210526,0.0157894736842105,7.834958217270195,0.5127267501956311
0.0278947368421052,0.0221052631578947,0.07903899721448468,0.46148714630864573
-0.01,0.0063157894736842,0.0,
0.0184210526315789,0.0268421052631578,0.8760445682451253,0.5905123754014847
0.0468421052631579,0.0157894736842105,0.0,
-0.01,0.0205263157894736,0.05675487465181058,
-0.0068421052631578,0.0157894736842105,0.011142061281337047,
-0.0005263157894736,0.0284210526315789,4.860027855153203,0.8694230687490281
-0.0005263157894736,0.0031578947368421,0.0,
0.0468421052631579,0.0221052631578947,0.0,
0.0468421052631579,0.0,55.494777158774376,0.0013565860310982682
0.0310526315789473,0.0221052631578947,0.0,
0.0026315789473684,0.0094736842105263,0.17270194986072424,0.8727904634114368
0.0152631578947368,0.0031578947368421,14.48850974930362,0.08202022870736779
0.05,0.0252631578947368,0.0006963788300835655,
0.0436842105263157,0.0126315789473684,0.25591922005571033,0.2975339937163181
0.0468421052631579,0.0284210526315789,0.0010445682451253482,
0.0152631578947368,0.0142105263157894,10.430362116991644,0.3944266935626725
0.0026315789473684,0.0078947368421052,0.029596100278551533,
0.0121052631578947,0.0236842105263157,3.0793871866295266,0.6273988391093643
0.0342105263157894,0.0252631578947368,0.0,
0.0436842105263157,0.001578947368421,62.44568245125348,0.046962022029640615
0.0121052631578947,0.0157894736842105,9.246866295264624,0.45126782781937164
-0.01,0.0221052631578947,0.11977715877437325,
-0.01,0.0110526315789473,0.0,
0.0373684210526315,0.0236842105263157,0.0,
0.0057894736842105,0.0189473684210526,6.058147632311978,0.6426054121756715
0.0310526315789473,0.0,33.0,0.0008217735968957276
0.0405263157894736,0.0157894736842105,0.06963788300835655,0.3273398793207292
0.0247368421052631,0.0284210526315789,0.044916434540389974,0.6045592576045713
0.0405263157894736,0.0142105263157894,0.044220055710306405,0.33948150786334336
0.0310526315789473,0.0063157894736842,32.44394150417827,0.17699939566903594
0.0089473684210526,0.0,3.875,6.58066062290343e-05
0.0310526315789473,0.0110526315789473,7.073816155988858,0.3179341519656209
-0.0068421052631578,0.0268421052631578,1.4174791086350975,0.8345380143147981
0.0468421052631579,0.0142105263157894,0.0,
-0.0005263157894736,0.0268421052631578,4.541782729805014,0.8351577700812514
-0.0005263157894736,0.0126315789473684,0.12047353760445682,
0.0247368421052631,0.0189473684210526,0.4714484679665738,0.44998159391528675
0.05,0.0189473684210526,0.0,
0.0436842105263157,0.0110526315789473,0.9888579387186629,0.2782206173400918
0.0057894736842105,0.0031578947368421,0.00034818941504178273,
0.0089473684210526,0.0031578947368421,4.538649025069638,0.3224674855134234
-0.01,0.03,1.198467966573816,0.8415334228454534
0.0057894736842105,0.0173684210526315,5.772284122562674,0.6363664292175083
