ou_mean,ou_std,IT5A_V_num_-200_0,IT5A_V_mean_-200_0,IT5A_V_median_-200_0,IT5A_V_num_-200_-70,IT5A_V_mean_-200_-70,IT5A_V_median_-200_-70,IT5A_V_num_-70_-50,IT5A_V_mean_-70_-50,IT5A_V_median_-70_-50,IT5A_V_num_-50_0,IT5A_V_mean_-50_0,IT5A_V_median_-50_0
0.0373684210526315,0.0284210526315789,319996,-22.837741381025413,-23.100685398589285,0,,,0,,,319996,-22.837741381025413,-23.100685398589285
0.0278947368421052,0.0236842105263157,319996,-23.614632268120733,-23.77696402065624,0,,,0,,,319996,-23.614632268120733,-23.77696402065624
0.0373684210526315,0.0252631578947368,319996,-22.899439042404996,-23.120749872430615,0,,,0,,,319996,-22.899439042404996,-23.120749872430615
0.0436842105263157,0.0236842105263157,319996,-22.460959237392345,-22.681117871621332,0,,,0,,,319996,-22.460959237392345,-22.681117871621332
0.0089473684210526,0.0110526315789473,317231,-70.61041659794147,-71.19745118606083,180963,-75.7021642940647,-75.0755033207095,131380,-65.05980523239135,-65.80751027814068,4888,-31.294005565295357,-34.70308237040811
0.0468421052631579,0.0031578947368421,296301,-56.010506963771725,-59.879549691214834,0,,,256970,-59.75638858366998,-60.38459927288654,39331,-31.536702588971846,-35.271772957459525
-0.0036842105263157,0.0110526315789473,319996,-87.19428804095901,-87.16541390225098,319171,-87.24429422337664,-87.18554581665404,825,-67.84819925500015,-68.10491156997008,0,,
0.0436842105263157,0.0268421052631578,319996,-22.40453031705742,-22.66684350133132,0,,,0,,,319996,-22.40453031705742,-22.66684350133132
0.0436842105263157,0.03,319996,-22.341965685308693,-22.654803629958355,0,,,0,,,319996,-22.341965685308693,-22.654803629958355
0.0184210526315789,0.0252631578947368,319088,-26.347247413254948,-24.54849244360764,5298,-75.93524650864065,-74.19684944185218,9945,-62.86453854755963,-63.53937630364414,303845,-24.287375835516247,-24.39197280816799
0.0247368421052631,0.0236842105263157,319996,-23.838135272672098,-23.99235730146998,0,,,0,,,319996,-23.838135272672098,-23.99235730146998
0.0057894736842105,0.0126315789473684,318489,-73.32161225481902,-73.50752952872695,220556,-77.14149135457356,-76.44662708883334,95319,-65.64167633868855,-66.49031550160561,2614,-31.0670433428715,-34.41700392349506
-0.0036842105263157,0.0252631578947368,319412,-76.217249718777,-83.68801356046721,237779,-90.12056751277852,-89.09005496444772,20679,-65.21691741175326,-66.24213282200944,60954,-25.71291645167462,-25.73457775331936
0.0184210526315789,0.0,313235,-64.9236656437874,-67.04794162377073,87187,-71.0152327077078,-71.138483265824,213662,-64.34716353053884,-65.07188832240328,12386,-31.988992377106086,-36.163513527111576
0.05,0.0,299368,-55.399979466614745,-59.554837941314545,0,,,253209,-59.269651202962706,-60.14690540742199,46159,-34.17257612839409,-39.12605574761837
0.0278947368421052,0.0252631578947368,319996,-23.584287547210202,-23.762042395173232,0,,,0,,,319996,-23.584287547210202,-23.762042395173232
0.0152631578947368,0.0252631578947368,319047,-30.623437115925704,-25.032189414266533,23524,-78.95476846223605,-77.14526238398241,17023,-64.00445137813382,-64.95854402612206,278500,-24.50066783629852,-24.584362908650995
