ou_mean,ou_std,ITS4_V_num_-200_0,ITS4_V_mean_-200_0,ITS4_V_median_-200_0,ITS4_V_num_-200_-70,ITS4_V_mean_-200_-70,ITS4_V_median_-200_-70,ITS4_V_num_-70_-50,ITS4_V_mean_-70_-50,ITS4_V_median_-70_-50,ITS4_V_num_-50_0,ITS4_V_mean_-50_0,ITS4_V_median_-50_0
0.0247368421052631,0.015,39151,-34.73727679128177,-27.115683749464132,3538,-94.59591533567693,-85.90930661981301,4101,-59.15526654961296,-58.76867703603977,31512,-24.838887632580768,-24.784744899996422
0.0089473684210526,0.0007894736842105,38620,-61.59088012589476,-64.54556337057724,3022,-71.01758508804711,-70.82396318109019,32461,-63.38949776043709,-64.57277638798884,3137,-33.898043201921766,-38.61007874006241
0.0142105263157894,0.0047368421052631,39667,-31.078056210765705,-28.21043392429473,168,-74.05360182091442,-73.83875515009856,3690,-59.1244039306307,-58.928571036043536,35809,-27.986349803192002,-27.77383601564717
-0.0173684210526315,0.0078947368421052,4869,-177.23865943813846,-182.91388361586004,4869,-177.23865943813846,-182.91388361586004,0,,,0,,
-0.0094736842105263,0.0142105263157894,26534,-124.88395641351407,-125.8316136500367,23343,-135.11866426236588,-133.64160292032463,1903,-61.277589913093536,-61.970547386040465,1288,-33.37318788443992,-34.64167887570023
-0.0121052631578947,0.0023684210526315,10313,-190.41006028258755,-191.71232728103251,10313,-190.41006028258755,-191.71232728103251,0,,,0,,
-0.001578947368421,0.0094736842105263,37812,-102.4720695741429,-96.48037045474692,30276,-114.49283739980459,-108.06684550588197,5375,-62.120566681135536,-63.07431061498918,2161,-34.42420347519831,-36.80380912539463
0.03,0.0094736842105263,39906,-23.043010901019965,-22.767849462676885,207,-74.29314185334857,-74.31151323764232,398,-60.32984819868133,-60.65282091296479,39301,-22.39547169459771,-22.65167859395445
0.0010526315789473,0.0078947368421052,38841,-89.96287804570211,-85.32830153127043,28913,-102.18908207387433,-95.78784871329266,7323,-61.34827429352147,-61.6283343553781,2605,-34.703187531566066,-37.35192666864442
0.011578947368421,0.0047368421052631,39711,-32.86429548101339,-29.2599207994774,793,-76.90991506667085,-74.74245794391841,3729,-60.46317990392654,-60.700521642018074,35189,-28.94703678242947,-28.763265049049544
-0.0147368421052631,0.0039473684210526,2887,-189.85604366045612,-193.08990650547975,2887,-189.85604366045612,-193.08990650547975,0,,,0,,
0.0089473684210526,0.0039473684210526,38651,-61.69508922939674,-63.57389771844361,10226,-76.74019093725647,-74.86846772476684,23023,-61.72961661161037,-62.02036304945498,5402,-33.067519072921705,-31.727923184163433
-0.001578947368421,0.001578947368421,40000,-98.1383054050566,-97.54350782287926,39779,-98.33706415447159,-97.64259208859812,221,-62.362629871212036,-60.97696053861024,0,,
0.0063157894736842,0.0126315789473684,38123,-73.57273902066018,-69.51237282312235,18804,-103.43108687446083,-97.38074613176663,8459,-60.440180699541,-60.42479936724235,10860,-32.10238338488487,-32.41189132131332
0.0089473684210526,0.0023684210526315,38575,-62.247099082489896,-64.20916121647382,8125,-73.5255189276621,-72.84322159613711,27118,-62.31850341381257,-63.00912941329537,3332,-34.163814599046844,-38.99972704281855
0.0221052631578947,0.015,39150,-37.45946822033866,-28.53072308800558,4448,-95.57910027212218,-86.23267481003921,4312,-59.72161936872474,-59.49104177801359,30390,-25.794100694238818,-25.790877555420195
0.03,0.0007894736842105,40000,-21.921032871809466,-21.92714619204733,0,,,0,,,40000,-21.921032871809466,-21.92714619204733
0.0089473684210526,0.0078947368421052,38915,-58.12999542783775,-58.79900641356612,12993,-87.77639487251496,-82.5457312712231,10537,-60.61082905700971,-60.816993481712274,15385,-31.393810056679087,-30.627260795209537
0.0194736842105263,0.0118421052631578,39273,-36.09633900676663,-28.600310851851905,3568,-91.26180431391302,-82.44038612244293,4282,-59.66884364294688,-59.58542914868737,31423,-26.620227716691765,-26.502531971526317
