ou_mean,ou_std,IRE_r,IRE_cv,IREM_r,IREM_cv,TI_r,TI_cv,TIM_r,TIM_cv
-0.0057894736842105,0.0126315789473684,42.15806451612903,4.112698533389564,42.104032258064514,4.12514660790556,1.9240196078431373,1.640487957247127,1.7843137254901962,1.768338200031933
0.0052631578947368,0.0078947368421052,86.11290322580645,0.7306074577828245,86.27903225806452,0.7310374760758505,33.95343137254902,0.9370439753479441,34.00735294117647,0.9338590243434695
-0.0184210526315789,0.001578947368421,0.0,,0.0,,0.0,,0.0,
0.0052631578947368,0.0,77.5,0.0011922407463056213,77.5,0.001192344423789297,33.0,0.4872298938803537,33.0,0.4872298938803537
-0.0184210526315789,0.0055263157894736,0.0,,0.0,,0.0,,0.0,
-0.0073684210526315,0.0055263157894736,0.02258064516129032,0.43797619664997267,0.0,,0.0,,0.0,
-0.0184210526315789,0.0063157894736842,0.0,,0.0,,0.0,,0.0,
0.0036842105263157,0.0055263157894736,63.93467741935484,0.6709156544142144,64.08467741935483,0.6741519805700932,26.370098039215687,0.883016636086588,26.419117647058822,0.8806008685463255
-0.0184210526315789,0.0126315789473684,0.0,,0.0,,0.0,,0.0,
0.0068421052631578,0.0086842105263157,100.78467741935484,0.673164195288352,101.05806451612904,0.6721568475520064,39.31372549019608,0.9206159048877429,39.4485294117647,0.9197303521808429
-0.02,0.0102631578947368,0.0,,0.0,,0.0,,0.0,
-0.02,0.0047368421052631,0.0,,0.0,,0.0,,0.0,
-0.0057894736842105,0.0047368421052631,0.02338709677419355,0.46947053710808706,0.03870967741935484,0.5671303754232464,0.0,,0.0,
-0.0042105263157894,0.0126315789473684,64.09274193548387,3.5083015584150146,64.12096774193549,3.5410733020808185,4.742647058823529,1.7843242502614607,4.696078431372549,1.7618114545272103
-0.0136842105263157,0.0,0.0,,0.0,,0.0,,0.0,
-0.0010526315789473,0.0110526315789473,85.23306451612903,2.36171802747576,85.33387096774193,2.3573581529283936,12.411764705882353,1.6537967669079743,12.306372549019608,1.644086028979781
-0.0073684210526315,0.001578947368421,0.0,,0.0,,0.0,,0.0,
-0.0136842105263157,0.0031578947368421,0.0,,0.0,,0.0,,0.0,
-0.0042105263157894,0.0007894736842105,0.0,,0.0,,0.0,,0.0,
-0.02,0.0023684210526315,0.0,,0.0,,0.0,,0.0,
-0.0010526315789473,0.0126315789473684,91.53629032258064,2.3428616661025674,91.34435483870968,2.3264661181113637,14.769607843137255,1.6319448490834096,14.544117647058824,1.6407188882546295
-0.0026315789473684,0.0071052631578947,50.86290322580645,3.7237122120523085,50.62822580645161,3.7669713320464546,2.0980392156862746,1.6316960348706533,2.0269607843137254,1.6679716128365443
0.0068421052631578,0.0047368421052631,96.09919354838709,0.385581823239229,96.21290322580646,0.38605312675897047,38.245098039215684,0.7504476048041149,38.25735294117647,0.7552937055332577
-0.0010526315789473,0.0142105263157894,97.08951612903226,2.323411936056376,96.91935483870968,2.304699029152328,16.88480392156863,1.6291588714069223,16.811274509803923,1.6192271160931284
0.0021052631578947,0.0142105263157894,104.70806451612903,1.5809964049999217,104.7483870967742,1.576233777937865,28.955882352941178,1.3084594298466685,29.00735294117647,1.2820062246394537
0.01,0.0023684210526315,133.74112903225807,0.1332664015721707,133.78387096774193,0.1332143008146605,46.84313725490196,0.5278425130744,46.875,0.5312194116329451
-0.0184210526315789,0.0110526315789473,0.0,,0.0,,0.0,,0.0,
0.0021052631578947,0.0102631578947368,85.70483870967742,1.3673892618483716,85.72822580645162,1.3641372711787076,24.556372549019606,1.2244392592816247,24.53921568627451,1.207645414507836
0.0052631578947368,0.0039473684210526,77.11209677419355,0.3948300611434465,77.21048387096774,0.3945811398077511,32.75,0.7346124133589866,32.799019607843135,0.7390959829848671
-0.0042105263157894,0.0039473684210526,0.14112903225806453,1.0190353714990392,0.21935483870967742,0.50743872483199,0.0,,0.0,
-0.0057894736842105,0.0110526315789473,30.131451612903227,4.456318412548416,30.213709677419356,4.440881832058067,1.0392156862745099,1.6466531554012191,0.9901960784313726,1.7060705543449628
0.01,0.0102631578947368,129.35645161290321,0.6043215877996404,129.4741935483871,0.6015198403899602,47.94117647058823,0.9058723850542763,48.10539215686274,0.9122945912120363
-0.0136842105263157,0.0055263157894736,0.0,,0.0,,0.0,,0.0,
0.0068421052631578,0.0039473684210526,96.35806451612903,0.32067817654553554,96.47983870967742,0.32145828978953694,38.23039215686274,0.7013723826075287,38.26960784313726,0.7081230912785956
0.01,0.0007894736842105,134.58064516129033,0.04366126610426049,134.61129032258066,0.04373680259226362,46.85294117647059,0.3752985646281599,46.86029411764706,0.37762748756421427
0.0084210526315789,0.0134210526315789,124.24032258064516,0.848187090329367,124.31532258064516,0.8487044360655279,46.154411764705884,1.007651046947846,46.294117647058826,1.0143359716949403
0.0036842105263157,0.0110526315789473,93.21693548387097,1.1449327449263258,93.26693548387097,1.141834014245023,31.154411764705884,1.1183035850334446,31.33578431372549,1.1008952965307632
0.0005263157894736,0.001578947368421,17.29274193548387,1.0262773300275887,17.283870967741937,1.020922322521561,1.1274509803921569,0.6639932609180825,1.0686274509803921,0.6777342502688829
0.0021052631578947,0.0031578947368421,38.012903225806454,0.6041717673956416,38.08709677419355,0.6040880186914795,16.485294117647058,0.7924076408000846,16.41176470588235,0.78176456069169
0.0084210526315789,0.0063157894736842,113.23709677419355,0.43370058290385344,113.38064516129032,0.4347076731699376,42.958333333333336,0.8023866126468507,43.05392156862745,0.807127106848462
0.01,0.0134210526315789,133.83225806451614,0.7632881598136118,133.9733870967742,0.7602373544308364,49.55882352941177,0.9767763741707167,49.713235294117645,0.982889781568468
0.0005263157894736,0.015,104.6741935483871,1.9330179331380564,104.47822580645162,1.9102273131123302,23.79901960784314,1.4802326538113004,24.151960784313726,1.4351688767358592
-0.0010526315789473,0.0071052631578947,67.15161290322581,2.5332258076287606,66.90322580645162,2.528725054496484,6.188725490196078,1.6235163721185057,6.080882352941177,1.623462505583728
0.0068421052631578,0.0118421052631578,110.42016129032258,0.8685919799824147,110.47096774193548,0.8698564139098787,41.21078431372549,1.0109262855111036,41.35539215686274,1.006733979095592
-0.0152631578947368,0.0047368421052631,0.0,,0.0,,0.0,,0.0,
0.0084210526315789,0.0071052631578947,113.24758064516129,0.48598547372256773,113.38225806451612,0.48732136802866455,43.075980392156865,0.8353472821479832,43.18872549019608,0.8397798679864665
-0.0136842105263157,0.015,1.4306451612903226,2.392821330621096,1.5911290322580645,2.2057442136073058,0.0,,0.0,
-0.0073684210526315,0.0023684210526315,0.0,,0.0,,0.0,,0.0,
-0.02,0.0094736842105263,0.0,,0.0,,0.0,,0.0,
0.0084210526315789,0.001578947368421,116.71370967741936,0.10405912424861188,116.75322580645161,0.10408856138753872,42.904411764705884,0.46967204657625566,42.93872549019608,0.4719683713541187
0.0036842105263157,0.0078947368421052,76.18709677419355,0.8997179781448122,76.30483870967743,0.899995778055809,28.125,1.0112379201015875,28.142156862745097,0.9923286385802331
-0.0042105263157894,0.0142105263157894,72.20161290322581,3.320189746722519,72.09838709677419,3.3425173407298137,6.607843137254902,1.8311468654918894,6.370098039215686,1.811319426319477
0.0084210526315789,0.0,117.125,0.002672424423472353,117.125,0.002672460854545191,42.875,0.4313363398646547,42.875,0.4313363398646547
-0.0121052631578947,0.0055263157894736,0.0,,0.0,,0.0,,0.0,
-0.0010526315789473,0.0,0.0,,0.0,,0.0,,0.0,
0.01,0.0,134.75,0.00336466807113788,134.75,0.003364665043375532,46.75,0.40317613111683676,46.75,0.40317613111683676
0.0084210526315789,0.0031578947368421,115.53709677419354,0.21242037034126207,115.59274193548387,0.21230406309156782,42.85294117647059,0.617475947461173,42.875,0.6184620015041041
0.0036842105263157,0.0126315789473684,101.10806451612903,1.2437620574007846,100.84677419354838,1.242266233126723,32.752450980392155,1.163681565779491,32.81617647058823,1.1450580900333964
-0.0152631578947368,0.0007894736842105,0.0,,0.0,,0.0,,0.0,
