ou_mean,ou_std,IRE_V_num_-200_0,IRE_V_mean_-200_0,IRE_V_median_-200_0,IRE_V_num_-200_-70,IRE_V_mean_-200_-70,IRE_V_median_-200_-70,IRE_V_num_-70_-50,IRE_V_mean_-70_-50,IRE_V_median_-70_-50,IRE_V_num_-50_0,IRE_V_mean_-50_0,IRE_V_median_-50_0,IREM_V_num_-200_0,IREM_V_mean_-200_0,IREM_V_median_-200_0,IREM_V_num_-200_-70,IREM_V_mean_-200_-70,IREM_V_median_-200_-70,IREM_V_num_-70_-50,IREM_V_mean_-70_-50,IREM_V_median_-70_-50,IREM_V_num_-50_0,IREM_V_mean_-50_0,IREM_V_median_-50_0,TI_V_num_-200_0,TI_V_mean_-200_0,TI_V_median_-200_0,TI_V_num_-200_-70,TI_V_mean_-200_-70,TI_V_median_-200_-70,TI_V_num_-70_-50,TI_V_mean_-70_-50,TI_V_median_-70_-50,TI_V_num_-50_0,TI_V_mean_-50_0,TI_V_median_-50_0,TIM_V_num_-200_0,TIM_V_mean_-200_0,TIM_V_median_-200_0,TIM_V_num_-200_-70,TIM_V_mean_-200_-70,TIM_V_median_-200_-70,TIM_V_num_-70_-50,TIM_V_mean_-70_-50,TIM_V_median_-70_-50,TIM_V_num_-50_0,TIM_V_mean_-50_0,TIM_V_median_-50_0
-0.0057894736842105,0.0126315789473684,290306,-122.34081111039659,-128.87498035130537,244285,-137.58510704679796,-137.58441846988532,17170,-59.09015765468077,-58.59114090230158,28851,-30.90761597022231,-33.24805682634594,292729,-124.42071071639266,-131.48752079513824,252650,-137.75901420813642,-138.45800383204772,14129,-59.04074368204036,-58.52368341227127,25950,-30.156016189969307,-32.083894154662886,319820,-107.65577679717146,-107.33237413589478,300591,-110.57538916299768,-109.20292267928534,18551,-62.917958924002406,-63.926603091958626,678,-37.334329465439126,-43.27604600992135,319843,-107.54059579167841,-107.54817572695816,306258,-109.57936118577776,-108.77280693333176,13009,-62.64900256009576,-63.51306962669148,576,-37.41303378399629,-43.43350898252491
0.0052631578947368,0.0078947368421052,301877,-58.87552071878607,-59.68913011677685,53082,-79.65918733628642,-77.00272035656116,177287,-60.323756629924205,-60.62239075622841,71508,-39.8567816774466,-43.435701661107366,301724,-58.74702458349566,-59.82582854988532,51806,-79.33276222097871,-76.54312386239755,176966,-60.49948444292777,-60.93421453888751,72952,-39.87721243945967,-43.457145570748196,317330,-63.720968653822375,-63.00772946823729,75164,-75.906059731758,-74.75680736471014,231927,-60.9196158108207,-60.76371053183136,10239,-37.72518537780928,-43.98844417911847,317348,-63.06123403614229,-62.42690718368708,64217,-75.42877467895875,-74.26956743800015,242968,-60.85570239640008,-60.660982585595804,10163,-37.64228825095517,-43.92688405652959
-0.0184210526315789,0.001578947368421,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,114690,-198.22597831376336,-198.53201967430016,114690,-198.22597831376336,-198.53201967430016,0,,,0,,,110074,-198.29099289232903,-198.6456227907055,110074,-198.29099289232903,-198.6456227907055,0,,,0,,
0.0052631578947368,0.0,303816,-53.874066146482804,-55.181418840948666,0,,,206986,-59.558693013969595,-59.54214594113792,96830,-41.72247906816388,-44.60695555311781,303824,-53.87268739669312,-55.18118567441943,0,,,206998,-59.558160046899914,-59.541989937972104,96826,-41.71808566113128,-44.60381189855292,317336,-56.82712602341331,-57.771335215459956,0,,,307744,-57.41569927110235,-57.84972502552271,9592,-37.94369341949113,-44.01333689425072,317336,-56.82712602341331,-57.771335215459956,0,,,307744,-57.41569927110235,-57.84972502552271,9592,-37.94369341949113,-44.01333689425072
-0.0184210526315789,0.0055263157894736,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,149211,-192.71261984990127,-193.72055603522506,149211,-192.71261984990127,-193.72055603522506,0,,,0,,,152147,-193.22837671804797,-194.4843016639427,152147,-193.22837671804797,-194.4843016639427,0,,,0,,
-0.0073684210526315,0.0055263157894736,316089,-157.40887092254286,-157.65081646644103,316089,-157.40887092254286,-157.65081646644103,0,,,0,,,316487,-157.2093163901774,-157.5513792884235,316487,-157.2093163901774,-157.5513792884235,0,,,0,,,319996,-116.72692683971704,-116.65559259244078,319996,-116.72692683971704,-116.65559259244078,0,,,0,,,319996,-116.31701000716103,-116.37357424625213,319996,-116.31701000716103,-116.37357424625213,0,,,0,,
-0.0184210526315789,0.0063157894736842,34,-196.82322830210478,-196.4993996149492,34,-196.82322830210478,-196.4993996149492,0,,,0,,,126,-194.29822393522198,-194.24332321772818,126,-194.29822393522198,-194.24332321772818,0,,,0,,,151072,-191.61265806389173,-192.7620501242269,151072,-191.61265806389173,-192.7620501242269,0,,,0,,,154374,-192.21130045080423,-193.64369943429926,154374,-192.21130045080423,-193.64369943429926,0,,,0,,
0.0036842105263157,0.0055263157894736,306394,-59.207160636220266,-60.52018237064887,49282,-76.89892188176215,-74.8599981923584,193780,-60.70171051608033,-61.18879869304993,63332,-40.86731263801899,-44.21541117758484,306195,-59.11659957978286,-60.376045402835125,48332,-76.93961296958729,-74.95548956749522,193751,-60.71029463670749,-61.15452917781689,64112,-40.86413679387322,-44.17217884339746,317902,-62.73555555103867,-62.17646483738666,54423,-74.64075887674139,-73.66779380922706,255692,-60.96552431599981,-60.77349108027832,7787,-37.650920384072606,-43.87417994533052,317905,-62.267721873885854,-61.647641121841225,47105,-74.11738536257565,-73.17274784598196,262915,-60.883558355431596,-60.5591935840591,7885,-37.630937196608166,-43.9038860010393
-0.0184210526315789,0.0126315789473684,12198,-182.88519006149312,-186.85443305380704,12198,-182.88519006149312,-186.85443305380704,0,,,0,,,11190,-183.22913853765243,-186.58926767095898,11190,-183.22913853765243,-186.58926767095898,0,,,0,,,157551,-182.8008468362483,-185.109024094419,157551,-182.8008468362483,-185.109024094419,0,,,0,,,161796,-184.02619735289494,-186.85081415279924,161796,-184.02619735289494,-186.85081415279924,0,,,0,,
0.0068421052631578,0.0086842105263157,298629,-57.362516579064284,-58.447445433545695,43898,-79.14542102540636,-76.41782656412076,174156,-60.124045511313,-60.423193409150116,80575,-39.526180592589135,-43.15669170509811,298633,-57.27323250012356,-58.54956785450487,41369,-79.12978221778009,-76.05352487698185,176676,-60.25543157816102,-60.6186324263159,80588,-39.5154198036789,-43.15689591775029,316969,-62.90630041606205,-62.20147836644189,66254,-75.6871238386127,-74.47734765601082,239023,-60.59774034862701,-60.29365736377026,11692,-37.67693657419219,-43.87302309542003,316943,-62.754044025209694,-62.14824349275742,61879,-75.53467612651724,-74.47561859902689,243288,-60.7203230115443,-60.49749606443865,11776,-37.61199105100898,-43.817146347302824
