ou_mean,ou_std,ITP4_V_num_-200_0,ITP4_V_mean_-200_0,ITP4_V_median_-200_0,ITP4_V_num_-200_-70,ITP4_V_mean_-200_-70,ITP4_V_median_-200_-70,ITP4_V_num_-70_-50,ITP4_V_mean_-70_-50,ITP4_V_median_-70_-50,ITP4_V_num_-50_0,ITP4_V_mean_-50_0,ITP4_V_median_-50_0
0.0214473684210526,0.0110526315789473,313232,-54.11694912822699,-59.889684599150534,34202,-72.94428665765031,-72.28062775163312,178650,-62.035004369659525,-62.64045760651693,100380,-33.609944076789844,-32.890418109028786
0.0111842105263157,0.0268421052631578,315050,-73.64640862190159,-74.46662281086756,194535,-83.76048486878997,-81.99021633114752,97497,-62.38633561721198,-63.19205324267129,23018,-35.86213175378917,-39.69847271095116
0.0111842105263157,0.0189473684210526,316086,-71.40897781521876,-72.24908718717438,182522,-79.99064892517174,-78.73224052032333,117167,-62.95208976970077,-63.889751018292,16397,-36.312583797921576,-41.368440040677974
0.0163157894736842,0.0189473684210526,314064,-66.19921427670768,-67.90775742056886,132566,-77.70305901821594,-76.40253103494382,149664,-62.391751441643734,-63.21622176590787,31834,-36.19423330492359,-39.594167532120494
0.0111842105263157,0.0284210526315789,314824,-74.08448146093642,-74.90233838280557,196259,-84.57888822835422,-82.74135657070916,93695,-62.3154258451961,-63.132437157458384,24870,-35.60759718872638,-39.149775156186294
0.0231578947368421,0.0173684210526315,311884,-57.816292548049475,-61.65149259053651,65639,-75.2699850049835,-74.2269104560534,168941,-61.62207133009314,-62.184186469807024,77304,-34.6791328616434,-34.446737525972665
0.0077631578947368,0.0126315789473684,318599,-72.77850679637803,-73.12169765247987,204467,-78.08870845429763,-77.25298999610298,109292,-64.45941490026892,-65.49155756370351,4840,-36.30106653185538,-41.80085049040619
0.0180263157894736,0.0252631578947368,312850,-66.98064353666076,-68.6378138423257,143897,-80.11775235766878,-78.48761375458066,129687,-61.8770061503006,-62.505622348695475,39266,-35.6936490301744,-38.89600000211259
0.0248684210526315,0.0126315789473684,317396,-39.00211804235013,-33.08472023570614,10650,-73.10716326853738,-72.59495551748364,56522,-61.48183074167094,-61.89275420174107,250224,-32.472700189346796,-32.227070527772156
-0.0025,0.0,319996,-90.24805058843306,-90.24805010723583,319996,-90.24805058843306,-90.24805010723583,0,,,0,,
0.0026315789473684,0.0284210526315789,317408,-83.64406209098652,-83.73286919211867,252438,-90.10817204590138,-88.2791961014322,54667,-62.90718225382203,-63.833963788719835,10303,-35.292710179840746,-39.67422546506008
-0.0025,0.0284210526315789,318661,-90.02421310330769,-89.98599660465722,278416,-94.35385260049611,-92.803035136495,35295,-63.5038047575824,-64.70585306566895,4950,-35.599344883745964,-40.13503386091533
0.0077631578947368,0.0236842105263157,316614,-76.41892390564506,-76.93933516626872,218529,-84.26215962646586,-82.76571195786966,83592,-62.93210601317276,-63.98157378108405,14493,-35.94528990525176,-40.2452679368855
0.0111842105263157,0.0236842105263157,315507,-72.62376688906579,-73.49171652775452,190373,-82.2083952785437,-80.61268886632152,103748,-62.56011178477732,-63.47881776918668,21386,-36.12463799023623,-40.30700172986354
0.0128947368421052,0.0236842105263157,314878,-71.0355985414223,-72.12997850400356,177158,-81.36091623144985,-79.84240093692705,113145,-62.48822368419672,-63.3852984361619,24575,-35.954422423045585,-39.62207507135209
0.0111842105263157,0.0063157894736842,318331,-66.57574122567273,-66.88254106072876,99906,-74.04185829869947,-73.58303611615374,212637,-63.892121684747835,-64.49813643947863,5788,-36.293591264689475,-41.69173207918517
0.0077631578947368,0.0047368421052631,319996,-70.20525704906433,-70.21967522196681,168240,-72.69537205381783,-72.30861768946369,151756,-67.44466143241837,-67.89734095709709,0,,
0.0026315789473684,0.0031578947368421,319996,-80.72034479024457,-80.71040728518486,319996,-80.72034479024457,-80.71040728518486,0,,,0,,
0.0128947368421052,0.0031578947368421,317694,-64.74607274333188,-64.97860120517376,82933,-72.74973937557867,-72.60341343814267,226571,-62.835394355512165,-63.06662316132087,8190,-36.55757801739531,-42.06047489720508
0.0009210526315789,0.0189473684210526,319324,-84.1273161764684,-84.18325619646782,279701,-87.13402654020916,-86.11299470643193,37367,-64.56686427830302,-65.64188682494648,2256,-35.33986521463223,-40.42141799831472
0.0009210526315789,0.0094736842105263,319996,-83.71648530141306,-83.68910583475167,314371,-84.00352093655306,-83.83174192071304,5625,-67.67458669615279,-68.41945734244487,0,,
0.0128947368421052,0.0078947368421052,317246,-66.1903888148191,-67.00875901095864,104362,-74.10566291047573,-73.41532669362915,203032,-63.56034649830047,-64.34389675874506,9852,-36.544521624044975,-42.11249016611518
0.0009210526315789,0.0252631578947368,318412,-85.05512134385128,-85.06276595391175,265689,-89.95445362243227,-88.43276995342747,46971,-63.421946144691766,-64.54056481290927,5752,-35.40859466023172,-39.86505139242993
0.0026315789473684,0.0173684210526315,319237,-81.25800036879066,-81.32576373797487,268376,-84.6756773103493,-83.63789577055591,48425,-64.61691345071368,-65.73301208262814,2436,-35.53639410448152,-40.67827014390194
-0.0007894736842105,0.0236842105263157,318972,-87.19028917674031,-87.2187077157234,279228,-90.8422724888623,-89.58096443841083,36354,-63.96654296953015,-65.18530047605523,3390,-35.432198716476854,-40.1706716475568
0.0180263157894736,0.0205263157894736,313315,-65.08133533231768,-67.16137010897504,126271,-77.9267702439085,-76.65123167489207,146354,-62.11654418501086,-62.80991844499039,40690,-35.882591951916034,-38.554055042637174
0.0026315789473684,0.0268421052631578,317671,-83.28231585347844,-83.36222528452804,254208,-89.31776330176336,-87.58772177537872,54701,-62.92450094350042,-63.78444572564194,8762,-35.27202236535905,-39.69051908042064
0.0146052631578947,0.0284210526315789,313651,-70.95979017545115,-72.0961520202653,173912,-82.98860385555446,-81.2574184836553,107361,-62.0914154257161,-62.86803334820938,32378,-35.755717557382496,-39.23228034250839
0.0026315789473684,0.0142105263157894,319642,-80.72758234217254,-80.79456089050066,278786,-83.12948429257241,-82.35289485066352,39661,-65.19568882890147,-66.36582448131313,1195,-35.86883044733792,-41.21435196769864
0.0231578947368421,0.0236842105263157,311333,-61.84368706357937,-64.3926078834635,102716,-77.8193801294963,-76.36057097184637,148572,-61.524196062691104,-62.05483559151669,60045,-35.305392917942875,-37.08331254565604
0.0282894736842105,0.0142105263157894,317066,-37.24087431560011,-32.55791728810206,5780,-72.78096127231697,-72.0218591178189,48278,-61.017074552741406,-61.45513617569529,263008,-32.095444907907066,-31.8570994501989
0.0163157894736842,0.0,316119,-62.84620749393784,-64.50773406762002,35157,-70.2421381162336,-70.2721919850104,266674,-63.27103763218429,-63.897718367382225,14288,-36.71869593355247,-42.327679639062445
0.0128947368421052,0.0063157894736842,317410,-65.7503956281031,-66.48820747525917,97173,-73.55520322253597,-73.05587160248261,210886,-63.44556407974153,-64.0920350121078,9351,-36.62411368328,-42.19395835613595
0.0214473684210526,0.0205263157894736,311974,-61.911811442268686,-64.5152246906049,99077,-76.98291650588959,-75.67878167786391,157426,-61.70965582791398,-62.36693690671569,55471,-35.5669586968167,-37.283039365717066
-0.0025,0.0189473684210526,319759,-89.23018806068085,-89.23340779889892,299748,-90.92705036775534,-90.22519207653318,19305,-64.87008054769653,-65.87528650462896,706,-34.89703326917022,-39.78865612118157
0.0146052631578947,0.0078947368421052,316474,-64.95817432906146,-66.08160142939418,86158,-73.57256709212794,-72.8761960596667,217401,-63.21436080893512,-63.922721219845826,12915,-36.84419456976635,-42.366601290408674
0.0009210526315789,0.0031578947368421,319996,-84.03338186630079,-84.0236948498808,319996,-84.03338186630079,-84.0236948498808,0,,,0,,
0.0231578947368421,0.0094736842105263,319854,-32.90849889829042,-32.39387252739378,481,-75.14850416866425,-73.2056087889414,4584,-60.754952546574735,-60.66418967707184,314789,-32.43845202225985,-32.35777485755449
0.0163157894736842,0.0173684210526315,314298,-65.5494536429577,-67.53332227427893,127299,-77.0227694426384,-75.80607088532012,153782,-62.453413454478806,-63.21876662500002,33217,-35.91323195770926,-38.21690657160238
0.0026315789473684,0.0110526315789473,319938,-80.45100023446675,-80.43591750091298,293512,-81.72851707536996,-81.22927479107628,26260,-66.4624396773555,-67.26648696995974,166,-34.5056822980345,-39.42659645634282
0.0094736842105263,0.0047368421052631,319758,-67.0228945715492,-67.00798096696546,66676,-72.44824468984135,-71.66826039749147,252267,-65.68826635239631,-66.08675155924428,815,-36.276897606881015,-41.67038700893034
0.0248684210526315,0.0110526315789473,313996,-45.70742345989772,-35.74113118903043,13019,-72.35700416543459,-71.7963270105327,123296,-61.8101343164363,-62.292316324601416,177681,-32.580804806394184,-32.273881292652966
0.0060526315789473,0.001578947368421,319996,-73.85250082701361,-73.84832167232902,319928,-73.85337573125645,-73.84859060086946,68,-69.73623075940574,-69.843246199159,0,,
0.0026315789473684,0.0205263157894736,318711,-81.86675602219982,-82.0467029343768,260530,-86.35756591280209,-85.17808783965721,53668,-63.92477221620535,-65.06318337110046,4513,-35.98146599373012,-41.154451021379984
-0.0025,0.0221052631578947,319398,-89.47077986851923,-89.46513844344963,292473,-91.96802487571931,-90.97845768076562,25008,-64.42879612991378,-65.6671800701422,1917,-35.1531952802156,-40.24661141494969
0.0146052631578947,0.0110526315789473,315976,-65.7272147390135,-66.81834206976663,107043,-74.82917752842529,-73.9937155949294,192937,-63.06036295394653,-63.84580451258609,15996,-36.984590332191075,-42.45272811279
-0.0007894736842105,0.0126315789473684,319967,-86.63226510353681,-86.61029615338691,311623,-87.17308113584426,-86.88248905351364,8254,-66.76737042283925,-67.5659361306476,90,-35.90033464496999,-41.38741402681442
0.0077631578947368,0.0173684210526315,317550,-74.54540174493769,-75.10682681023687,215266,-80.92865350950909,-79.773166194541,93383,-63.49177464445949,-64.61386693204713,8901,-36.136659488082756,-41.44677361471838
0.0214473684210526,0.0268421052631578,311566,-63.948095260032424,-66.27523692915665,123794,-79.63350490134648,-77.94944504583204,130590,-61.57444250929505,-62.21647585613257,57182,-35.41141783675175,-37.57293718378256
