ou_mean,ou_std,CT5B_r,CT5B_cv,CT5A_r,CT5A_cv,CT6_r,CT6_cv
-0.0078947368421052,0.0236842105263157,0.32351380042462846,0.8110432222404783,0.30919220055710306,0.6852333602627196,0.32420713577799803,0.7563310142812903
-0.0042105263157894,0.0173684210526315,0.06210191082802548,,0.04700557103064067,,0.054261645193260655,0.7903839987550834
0.04,0.0252631578947368,1.0270700636942676,1.2327630399325678,1.0229805013927578,1.1435209713155277,1.0278741328047571,1.2028832473139877
-0.011578947368421,0.0221052631578947,0.05281316348195329,,0.042827298050139274,,0.04707631318136769,0.7899908421833096
0.021578947368421,0.0094736842105263,0.0,,0.001392757660167131,,0.00037165510406342913,
0.0326315789473684,0.0189473684210526,0.08200636942675159,1.4946533106734181,0.07764623955431754,1.4670747738598167,0.0816402378592666,1.12315536508319
0.0105263157894736,0.0252631578947368,11.894904458598726,0.696394924087619,11.903551532033426,0.6944183549003718,11.861248761149653,0.6897337777517851
-0.011578947368421,0.0173684210526315,0.0010615711252653928,,0.0006963788300835655,,0.0009910802775024777,
-0.0042105263157894,0.0236842105263157,0.9137473460721869,0.7990429169816642,0.8913649025069638,0.7781611990924868,0.8922200198216056,0.7858139484382388
-0.011578947368421,0.0252631578947368,0.20514861995753716,0.8530482595435888,0.19080779944289694,0.8872178013801717,0.2039147670961348,0.769512449658872
-0.0189473684210526,0.0047368421052631,0.0,,0.0,,0.0,
-0.0263157894736842,0.0142105263157894,0.0,,0.0,,0.0,
0.0068421052631578,0.0284210526315789,9.981953290870488,0.7547230467807511,9.987813370473537,0.751571789016816,9.989469772051535,0.7482718395271232
0.04,0.0205263157894736,0.05440552016985138,1.2252707174787019,0.05884401114206128,0.9709977312457017,0.06008424182358771,0.9149882149509747
0.0031578947368421,0.0110526315789473,0.022823779193205943,,0.02158774373259053,,0.020564915758176414,
0.0031578947368421,0.0205263157894736,2.6900212314225054,0.8230894932195688,2.6922005571030643,0.8095422546553847,2.686199207135778,0.810741640506752
0.0068421052631578,0.001578947368421,0.0,,0.0,,0.0,
0.021578947368421,0.0189473684210526,1.2038216560509554,1.6846515423241157,1.2628830083565459,1.7627031957072874,1.2169226957383548,1.7896595556847268
-0.0005263157894736,0.0268421052631578,3.5005307855626326,0.8340389033307504,3.507311977715877,0.8292412617998551,3.5008671952428148,0.833001291672547
0.0326315789473684,0.0110526315789473,0.0,,0.0,,0.0,
-0.0152631578947368,0.0284210526315789,0.23089171974522293,0.8958558011804276,0.2176183844011142,0.8136987433802634,0.2320366699702676,0.815108496573457
-0.0042105263157894,0.0110526315789473,0.0,,0.0,,0.0,
