ou_mean,ou_std,IT5B_V_num_-200_0,IT5B_V_mean_-200_0,IT5B_V_median_-200_0,IT5B_V_num_-200_-70,IT5B_V_mean_-200_-70,IT5B_V_median_-200_-70,IT5B_V_num_-70_-50,IT5B_V_mean_-70_-50,IT5B_V_median_-70_-50,IT5B_V_num_-50_0,IT5B_V_mean_-50_0,IT5B_V_median_-50_0,IT6_V_num_-200_0,IT6_V_mean_-200_0,IT6_V_median_-200_0,IT6_V_num_-200_-70,IT6_V_mean_-200_-70,IT6_V_median_-200_-70,IT6_V_num_-70_-50,IT6_V_mean_-70_-50,IT6_V_median_-70_-50,IT6_V_num_-50_0,IT6_V_mean_-50_0,IT6_V_median_-50_0
0.0002631578947368,0.0189473684210526,319449,-71.03439227278793,-78.52481832638982,229521,-83.70872762996598,-82.89963408166895,29088,-65.75700683757854,-66.67151765743596,60840,-25.7431769871946,-25.749840843559433,319030,-79.64194901676717,-81.26443936207892,271522,-83.90511737795802,-83.21823755524429,35491,-65.46847217942863,-66.48966053388301,12017,-25.1763475077986,-24.631099305241126
0.0107894736842105,0.0094736842105263,317929,-54.00022452884031,-65.29393241950176,103843,-74.78816848328745,-74.147530404138,100045,-64.98698891105198,-65.80736942084546,114041,-25.43283817936933,-25.208715564117142,316882,-60.26030665478227,-68.32711249272832,135225,-75.3469404883142,-74.7480457324412,109994,-65.04453324899205,-65.8602375069189,71663,-24.44927055326723,-24.004923321398152
-0.0010526315789473,0.0094736842105263,319996,-82.61253455507041,-82.58869283699215,317973,-82.70396144060362,-82.62974213861246,2023,-68.24215340150567,-68.83710794487584,0,,,319996,-82.17157757778438,-82.23229843691661,317062,-82.30116895135416,-82.291974736734,2934,-68.16731715284632,-68.68598506627248,0,,
0.0160526315789473,0.0063157894736842,316035,-55.79403025563108,-65.09796675592624,81706,-72.78543427891994,-72.44651548278381,145940,-64.535854996439,-65.36600189595575,88389,-25.65361052240242,-24.88836250705319,313938,-66.85473557031096,-68.47116369009919,123442,-72.90395812243544,-72.57900735975039,180199,-64.72170894809929,-65.60600195024662,10297,-31.66401341983703,-35.66352255676774
0.0081578947368421,0.0031578947368421,319726,-67.14152214790694,-66.98166928828905,30638,-73.35216980158553,-72.00415353481807,288562,-66.5441672777946,-66.74052711843882,526,-33.096071988115604,-37.475006043185005,318463,-68.14900088923682,-67.19302157821468,93212,-75.25975004545839,-75.19666866598857,222580,-65.59705123726239,-65.92831958821867,2671,-32.65884858176621,-37.186605183350544
0.001578947368421,0.0094736842105263,319961,-78.28395907058778,-78.27307168868225,302856,-78.88413252722859,-78.62558626513061,17044,-67.7816511236741,-68.34323777104557,61,-32.959438788615586,-36.40578278662293,319948,-77.68533377702663,-77.76437267852425,296653,-78.48434572113129,-78.25956767682234,23219,-67.63040395041982,-68.22045829684322,76,-30.79224679670803,-35.16435488757345
0.0160526315789473,0.02,319946,-24.972562203725843,-24.772577913773837,1202,-79.93892819640155,-79.44255055869078,681,-63.24403958457831,-63.69984300239779,318063,-24.682894911335474,-24.758871366664767,319867,-24.272377368669915,-23.619192677288876,2847,-76.5643798854056,-75.3955648330604,2605,-63.964017265114904,-64.75847389573995,314415,-23.470023622521076,-23.57821762514206
0.0173684210526315,0.011578947368421,319548,-27.712229870940565,-24.85694727203917,8580,-74.20897778334339,-73.4160901344091,13365,-64.39224119117473,-65.24889428845015,297603,-24.724456063608844,-24.75079392880403,318424,-33.02990501458166,-23.937075953633524,25475,-74.2282840913926,-73.47612854424239,41894,-64.63387559676501,-65.45491858363272,251055,-23.575620293895952,-23.54776896002769
0.001578947368421,0.0052631578947368,319996,-78.349515905043,-78.33761665710202,319384,-78.36705499344399,-78.34473683615428,612,-69.19640445103953,-69.41307840856392,0,,,319996,-77.68404899215936,-77.72194362863902,318787,-77.71671648583147,-77.73501071529468,1209,-69.07034154365385,-69.28786558305606,0,,
0.0134210526315789,0.0021052631578947,315829,-67.1332575109865,-68.22618946581312,129624,-73.39657602406108,-73.59483182548612,177416,-64.22238009682803,-64.6620900455437,8789,-33.51849227848717,-38.204396726785326,315031,-67.65905099770013,-69.2261593428828,144233,-73.40800327039781,-73.59740675873924,162240,-64.41109133298825,-64.98257942110737,8558,-32.34242828852148,-36.71287966350907
0.0186842105263157,0.0136842105263157,319996,-24.589558603360988,-24.645927231452397,0,,,0,,,319996,-24.589558603360988,-24.645927231452397,319217,-27.655038948885217,-23.62032613423957,12209,-74.05199898324176,-73.34200244984183,18016,-64.20427703076598,-65.06428182536823,288992,-23.41640411351737,-23.449671410522935
0.0068421052631578,0.0,319996,-69.44845180032407,-69.44845367391832,0,,,319996,-69.44845180032407,-69.44845367391832,0,,,319996,-68.15875053497044,-68.15875038229248,0,,,319996,-68.15875053497044,-68.15875038229248,0,,
0.02,0.011578947368421,319996,-24.52400351531599,-24.571075031166437,0,,,0,,,319996,-24.52400351531599,-24.571075031166437,318937,-28.615154332765602,-23.568482229217423,13095,-73.76150990657676,-73.069383118676,24734,-64.36878524822569,-65.39947390624774,281108,-23.36620434449759,-23.377606145023734
0.0160526315789473,0.0,314798,-66.03531296982996,-67.82059307722517,117876,-72.27959351712421,-72.54018263194203,185170,-64.1234966504358,-64.68670108155972,11752,-33.526821995472915,-38.62571118382043,313916,-66.56081849199141,-68.53402065194865,128415,-72.26170695420069,-72.52835112470237,175140,-64.4139746058352,-65.09239391152715,10361,-32.193348783159344,-36.56872494831138
-0.005,0.0084210526315789,319996,-88.93063470573681,-88.91481757069397,319986,-88.93123512773184,-88.91504726985355,10,-69.71797145540526,-69.68510362848615,0,,,319996,-88.69776595607158,-88.7529374415644,319996,-88.69776595607158,-88.7529374415644,0,,,0,,
0.0107894736842105,0.0147368421052631,318357,-45.17957986399399,-26.824012321575903,80425,-76.55973767287715,-75.75859984193656,56651,-64.53309435140704,-65.37206245627266,181281,-25.20978081717792,-25.15856386520755,317801,-47.375335035040386,-26.72479792808721,93629,-76.90173031924373,-76.22777433699352,60346,-64.87103021333728,-65.84043056131497,163826,-24.055946871414445,-23.971120571834295
0.0002631578947368,0.0042105263157894,319996,-80.58630643810007,-80.5776800554099,319996,-80.58630643810007,-80.5776800554099,0,,,0,,,319996,-79.98927189563487,-80.019229475697,319996,-79.98927189563487,-80.019229475697,0,,,0,,
0.0173684210526315,0.0010526315789473,314154,-65.51323772097041,-67.49146173317297,106660,-71.7441490796673,-71.86270303347328,194603,-64.19049743146668,-64.83821773635746,12891,-33.926876929696,-38.679441778864536,313405,-66.00458697203001,-68.1172987415708,116413,-71.7684003417482,-71.88885186018626,185633,-64.47077982283832,-65.19977868981525,11359,-32.000045790314694,-36.2610385386343
0.02,0.0084210526315789,319807,-25.60565600947343,-24.620187787054725,2037,-72.65852985215993,-72.27450111901524,5924,-64.2039023433623,-65.40600134666656,311846,-24.565069581237992,-24.59209660429972,317283,-37.62203092425573,-23.940114555394022,31145,-72.59834632824257,-72.12655881805196,71917,-64.47052582901354,-65.3153942033625,214221,-23.523503929597705,-23.397209499198215
0.0121052631578947,0.0063157894736842,316385,-68.0135240083685,-68.6769795744378,135877,-74.23359938797317,-74.04766547448843,173065,-64.6194790289677,-65.22813866663365,7443,-33.38034007789135,-38.02439260525787,316736,-56.78792280592105,-66.50032663510376,111486,-74.47762085337484,-74.20355884008109,115757,-64.81450418609717,-65.56802589376585,89493,-24.368776533659723,-23.929169313357573
0.0081578947368421,0.0105263157894736,318921,-49.96684488370634,-61.735492706254455,99409,-75.5492378757247,-74.80390615756866,71196,-65.4025774672211,-66.20834665521282,148316,-25.410610074518708,-25.347797096054023,317804,-62.51108085983071,-70.00075376695753,158919,-76.0245106188876,-75.31439055447947,95458,-65.26724490190318,-66.06204136327231,63427,-24.50457493951735,-24.166964978374416
