ou_mean,ou_std,SOM2_V_num_-200_0,SOM2_V_mean_-200_0,SOM2_V_median_-200_0,SOM2_V_num_-200_-70,SOM2_V_mean_-200_-70,SOM2_V_median_-200_-70,SOM2_V_num_-70_-50,SOM2_V_mean_-70_-50,SOM2_V_median_-70_-50,SOM2_V_num_-50_0,SOM2_V_mean_-50_0,SOM2_V_median_-50_0,SOM3_V_num_-200_0,SOM3_V_mean_-200_0,SOM3_V_median_-200_0,SOM3_V_num_-200_-70,SOM3_V_mean_-200_-70,SOM3_V_median_-200_-70,SOM3_V_num_-70_-50,SOM3_V_mean_-70_-50,SOM3_V_median_-70_-50,SOM3_V_num_-50_0,SOM3_V_mean_-50_0,SOM3_V_median_-50_0,SOM4_V_num_-200_0,SOM4_V_mean_-200_0,SOM4_V_median_-200_0,SOM4_V_num_-200_-70,SOM4_V_mean_-200_-70,SOM4_V_median_-200_-70,SOM4_V_num_-70_-50,SOM4_V_mean_-70_-50,SOM4_V_median_-70_-50,SOM4_V_num_-50_0,SOM4_V_mean_-50_0,SOM4_V_median_-50_0,SOM5A_V_num_-200_0,SOM5A_V_mean_-200_0,SOM5A_V_median_-200_0,SOM5A_V_num_-200_-70,SOM5A_V_mean_-200_-70,SOM5A_V_median_-200_-70,SOM5A_V_num_-70_-50,SOM5A_V_mean_-70_-50,SOM5A_V_median_-70_-50,SOM5A_V_num_-50_0,SOM5A_V_mean_-50_0,SOM5A_V_median_-50_0,SOM5B_V_num_-200_0,SOM5B_V_mean_-200_0,SOM5B_V_median_-200_0,SOM5B_V_num_-200_-70,SOM5B_V_mean_-200_-70,SOM5B_V_median_-200_-70,SOM5B_V_num_-70_-50,SOM5B_V_mean_-70_-50,SOM5B_V_median_-70_-50,SOM5B_V_num_-50_0,SOM5B_V_mean_-50_0,SOM5B_V_median_-50_0,SOM6_V_num_-200_0,SOM6_V_mean_-200_0,SOM6_V_median_-200_0,SOM6_V_num_-200_-70,SOM6_V_mean_-200_-70,SOM6_V_median_-200_-70,SOM6_V_num_-70_-50,SOM6_V_mean_-70_-50,SOM6_V_median_-70_-50,SOM6_V_num_-50_0,SOM6_V_mean_-50_0,SOM6_V_median_-50_0
0.001578947368421,0.0252631578947368,306516,-86.6216035470231,-79.14527056555684,187233,-107.31487156039346,-100.88774942673545,86315,-60.50098252380836,-60.608420102037535,32968,-37.487253682651755,-41.37538237151368,306586,-87.52687057749851,-80.8633183600863,193509,-106.73349811695252,-99.79033447169604,83576,-60.69233766028412,-60.77018756101769,29501,-37.56475521045705,-41.42165082995558,306256,-87.75488668765426,-80.41748531272408,190234,-108.14713750841997,-101.75568439111066,84435,-60.4965630463041,-60.56128349804625,31587,-37.80576565747921,-41.653757397965485,306783,-84.5674609556416,-77.39310735110095,182825,-104.91794564288816,-98.05226232395322,91030,-60.58098039241742,-60.56155470927065,32928,-37.887187714765645,-41.73571754776978,306869,-89.89958579406272,-82.56648811303374,195735,-109.98555168733682,-103.5218070025077,81528,-60.590016993890366,-60.7125540479211,29606,-37.816359117728375,-41.759910112561855,306821,-88.45054953256577,-81.76038688615807,195875,-107.61460412131694,-101.2489772134519,81592,-60.62441035522699,-60.75986393225449,29354,-37.91676044711876,-41.65310933841026
0.0078947368421052,0.0157894736842105,295862,-59.71111841711547,-59.997821995796734,59362,-80.84259934997348,-77.47221542777848,179648,-59.9435362748723,-59.89746095729694,56852,-36.91226570398988,-40.99552206396858,296463,-60.19385268599413,-60.26396879934355,61156,-81.89697916891666,-78.02407847470792,178944,-60.095363286011924,-60.066201671516396,56363,-36.95782344696864,-40.948213655769415,296427,-60.097598024735525,-60.174341268527435,62609,-81.19541105216818,-78.11242845174576,177943,-59.94811184503317,-59.885266097760145,55875,-36.93316032344233,-41.0420447224577,295466,-59.24192695562709,-59.69588294077256,54987,-80.87402579975995,-77.56451440245068,182076,-59.84818303084399,-59.82230138919754,58403,-36.98504117418557,-41.05607357271793,296713,-60.29615521468359,-60.377492335514575,65438,-81.30473066053119,-78.49126815015559,174454,-59.97783393261616,-59.999239243308395,56821,-37.078916181868564,-41.11307703423447,296901,-60.101574432040934,-60.346787250198126,61662,-81.17447057876589,-77.96666981103249,179139,-60.07275161481701,-60.11872713821423,56100,-37.031456222688554,-41.03219440985275
0.0173684210526315,0.0,271003,-49.57499809705097,-53.37279612870406,0,,,171185,-56.892974934081174,-57.606886531241585,99818,-37.02487823042357,-41.77504799398933,271002,-49.575139375578495,-53.37285425748214,0,,,171184,-56.893016736126995,-57.60719706685405,99818,-37.02526342045882,-41.775250019631784,271001,-49.57536082520372,-53.37348641020807,0,,,171186,-56.89297589135202,-57.60756496629983,99815,-37.02541089068821,-41.774335331145146,271000,-49.57546633068637,-53.37308183341182,0,,,171188,-56.89233248395128,-57.605567011014884,99812,-37.02627702433924,-41.77461452111585,271000,-49.575562800368196,-53.37371359529364,0,,,171188,-56.89291543432628,-57.60756496629983,99812,-37.02553912884555,-41.774335331145146,271000,-49.57546633068635,-53.37308183341182,0,,,171188,-56.89233248395128,-57.605567011014884,99812,-37.02627702433923,-41.77461452111585
-0.0205263157894736,0.0268421052631578,24772,-168.95718544793903,-174.85449855489753,24697,-169.2745731128647,-174.96343502044135,75,-64.44354330568021,-65.37467999528812,0,,,17773,-169.8451839595041,-177.76093084092585,17718,-170.2017860497589,-177.83878018404067,40,-63.47544961081032,-63.35887678453914,15,-32.27941988039174,-34.240955754026324,19008,-169.27295718451217,-176.4853272059347,18904,-169.88130023390158,-176.626431883152,83,-65.2677916153022,-66.37852351880288,21,-32.71637321245076,-36.807086414492055,18956,-173.7434196807623,-177.77792626334167,18956,-173.7434196807623,-177.77792626334167,0,,,0,,,16041,-173.44754540295554,-179.2273504174608,16041,-173.44754540295554,-179.2273504174608,0,,,0,,,12141,-175.4446044049845,-181.78355142093386,12141,-175.4446044049845,-181.78355142093386,0,,,0,,
-0.001578947368421,0.0063157894736842,319437,-78.75029049650175,-77.79326078993152,234829,-84.27075973687191,-82.41965397048493,82824,-64.00179787484134,-64.92384498647183,1784,-36.801233125151455,-39.073598799723044,319585,-79.67167759235515,-78.8811915003529,243267,-84.70448260149522,-82.9755761768584,74892,-64.1254375045726,-64.94910509993255,1426,-37.577453536066024,-39.93104535143247,319598,-79.80777107837795,-78.89615248357202,244444,-84.82280054161549,-82.8014871640811,73856,-63.965819555079335,-64.75534208929938,1298,-36.764095880467956,-39.04726083564179,319607,-78.56538921646903,-77.6644026913507,237459,-83.66963246863823,-81.90960622765587,80686,-64.29278544077056,-65.25399007726713,1462,-37.21847391493619,-39.6371482904853,319617,-80.46744476931319,-79.5010171205477,246493,-85.42322892418417,-83.83486463779263,71922,-64.2094649879446,-65.00933144578508,1202,-36.99017201471255,-39.530298142731304,319684,-80.346605577565,-79.35156068098341,250653,-84.88073366435802,-82.96648259119392,68128,-64.24625397932678,-65.1379399653024,903,-36.48386620419166,-38.814532022400634
-0.0078947368421052,0.0142105263157894,298228,-142.68149548370482,-144.6217157276958,294202,-143.78035464812257,-145.21915854513315,3892,-63.2523874244347,-63.98532487597079,134,-37.09585874221767,-42.363207930101744,294240,-145.7835304033956,-147.43212556236716,291663,-146.53741842829035,-147.77278961846943,2363,-62.4048738234295,-62.95890000191296,214,-38.972887850081136,-41.99207770495282,292203,-145.56728274443836,-147.83573991485005,288770,-146.5618588721525,-148.27404584479487,3188,-63.58072714974155,-64.62119729899484,245,-40.13622493167125,-42.25279596728145,300879,-144.4338243062612,-146.17652778493823,298440,-145.09355861163758,-146.52769362052572,2370,-64.37733225931855,-65.53139583488802,69,-40.70599901252699,-42.98046001542884,289941,-146.96833368924214,-148.58030121945671,287635,-147.64861913428908,-148.90768995625393,2222,-62.90809607766976,-63.88046162940374,84,-41.110524008708374,-42.03658688490523,293837,-148.0878578695786,-149.7950473814202,292172,-148.58187636345843,-149.98005137842273,1447,-64.20878025157732,-65.34770990414991,218,-42.74223364668736,-42.498324790399266
0.0173684210526315,0.03,281204,-58.85555815059859,-57.049552872063686,62069,-89.01286247769066,-83.06154201049144,136408,-58.73151646789376,-58.12138867293895,82727,-36.43345358469046,-40.876016596217355,281876,-59.7415882231484,-57.381780989639886,64973,-90.83983126051429,-83.76490361811082,135430,-58.81735328850147,-58.259986966461355,81473,-36.47772157201811,-40.91257997385943,282367,-59.42287580036805,-57.33673436701373,65720,-88.9837803428332,-83.5228674191032,135510,-58.78012545174334,-58.19687290390066,81137,-36.55237840967489,-41.04059440417366,280884,-58.65139659806068,-57.06827603679959,60525,-88.78859429477093,-82.56710373995027,137033,-58.81696596464845,-58.2511140118479,83326,-36.488537975241734,-40.950844813292214,282841,-60.086131598384256,-57.66092557129045,69637,-89.62670196902363,-84.62575388120628,133309,-58.77593111581235,-58.2194348459557,79895,-36.52451719486678,-41.01256632512938,282588,-59.59764351430804,-57.49825014056099,65922,-89.3205495587407,-83.32525851159872,135832,-58.890398111595196,-58.35508327347059,80834,-36.5463673839693,-41.02817887120365
-0.0173684210526315,0.0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
-0.0205263157894736,0.0189473684210526,6768,-184.0418220501124,-188.3558041683529,6768,-184.0418220501124,-188.3558041683529,0,,,0,,,4376,-179.8655802172948,-184.01365082256598,4376,-179.8655802172948,-184.01365082256598,0,,,0,,,5112,-182.10693573540192,-187.1722292462355,5112,-182.10693573540192,-187.1722292462355,0,,,0,,,4008,-189.24971576276033,-191.3460874878222,4008,-189.24971576276033,-191.3460874878222,0,,,0,,,3341,-185.2809771841436,-188.1083965058956,3341,-185.2809771841436,-188.1083965058956,0,,,0,,,2309,-186.80822645561227,-188.97616863102778,2309,-186.80822645561227,-188.97616863102778,0,,,0,,
0.001578947368421,0.0078947368421052,312714,-64.54517441443963,-64.37480741332556,89352,-77.66732980686524,-75.67476247005581,203814,-61.445481373368054,-61.768978500386865,19548,-36.88352150104442,-39.876326582443276,313077,-64.87757783951659,-64.5024885293832,88955,-78.28968723716298,-76.1155837561055,204946,-61.66402388308723,-62.118268680371656,19176,-37.00580258329708,-39.97759423317481,313090,-64.83072961923699,-64.53398533597785,92227,-78.09418329210189,-76.07775119739689,201274,-61.454343103047506,-61.887064147827246,19589,-37.07690235762187,-40.1707131603185,312924,-64.04738445354116,-63.84527105438377,78806,-77.84979176419982,-75.84913986531866,214683,-61.43535000472042,-61.8654125806181,19435,-36.93376886580836,-39.949055950783354,313184,-65.46884840535887,-65.09722753234806,99310,-78.39319514830669,-76.62433159431482,195480,-61.59866212415323,-62.124155008176054,18394,-36.819676893340656,-39.7683151549153,313602,-65.05949966149196,-64.54687611645812,92661,-78.12057147360585,-75.86113215534655,202977,-61.58341120453338,-61.99047903292062,17964,-36.96520170701602,-39.8191184560106
