ou_mean,ou_std,TI_V_num_-200_0,TI_V_mean_-200_0,TI_V_median_-200_0,TI_V_num_-200_-70,TI_V_mean_-200_-70,TI_V_median_-200_-70,TI_V_num_-70_-50,TI_V_mean_-70_-50,TI_V_median_-70_-50,TI_V_num_-50_0,TI_V_mean_-50_0,TI_V_median_-50_0,TIM_V_num_-200_0,TIM_V_mean_-200_0,TIM_V_median_-200_0,TIM_V_num_-200_-70,TIM_V_mean_-200_-70,TIM_V_median_-200_-70,TIM_V_num_-70_-50,TIM_V_mean_-70_-50,TIM_V_median_-70_-50,TIM_V_num_-50_0,TIM_V_mean_-50_0,TIM_V_median_-50_0
0.0034210526315789,0.0,317996,-57.48037686987237,-58.19771733664566,0,,,310744,-57.93915782803147,-58.286475378900775,7252,-37.821878516014145,-43.93538540122598,317996,-57.48037686987237,-58.19771733664566,0,,,310744,-57.93915782803147,-58.286475378900775,7252,-37.821878516014145,-43.93538540122598
-0.0015526315789473,0.001578947368421,319996,-79.94019537153113,-79.95704258938007,319771,-79.94747125503885,-79.95951442316235,225,-69.59967739308416,-69.61904337349822,0,,,319996,-80.03574725905774,-80.10430054453094,319968,-80.03663225998378,-80.10460560832931,28,-69.92246239144409,-69.93999292061625,0,,
0.0133684210526315,0.0071052631578947,315872,-58.77026297216372,-58.62535200094396,14955,-72.7708976219959,-72.06771217463397,284635,-59.23632965252037,-58.65353175620785,16282,-37.763115155460866,-44.130967320945956,315845,-58.709951020727026,-58.57236232941755,13155,-72.88878439502356,-72.15272349051192,286373,-59.24596535518732,-58.63665581002904,16317,-37.87140312336444,-44.25027683402936
0.0183421052631578,0.0071052631578947,315300,-57.67778931297477,-57.90753261146348,5985,-72.1219839587934,-71.50912506569414,290318,-58.68268070290837,-58.13556203568311,18997,-37.770090018456166,-44.20817723838277,315226,-57.607874521954756,-57.82512552351695,5880,-72.08106019220332,-71.57806514541251,290304,-58.60381021996309,-58.05005789339257,19042,-37.95518842723407,-44.30780621326642
0.0183421052631578,0.0031578947368421,315210,-55.76137288944196,-56.605712730869,0,,,296328,-56.89556444715037,-56.80051077590983,18882,-37.96173747409343,-44.454173774348874,315193,-55.68449570282696,-56.56716583618132,0,,,296334,-56.810808997729865,-56.75809629308469,18859,-37.9865836220298,-44.44695406032763
0.0183421052631578,0.0142105263157894,315250,-61.23267792484221,-60.72704366525965,51889,-75.46668279966349,-74.29745716867863,243794,-60.09614841820789,-59.668325470533205,19567,-37.64657865519472,-43.780037939959435,315262,-61.03455271398772,-60.5893778017485,48754,-75.36445008498717,-74.09693842561971,247033,-60.05318060757205,-59.647246890967025,19475,-37.609211463074715,-43.75342234069967
-0.0015526315789473,0.0118421052631578,319028,-83.39692302990305,-81.0577530780979,230551,-91.99058713363503,-88.57414843410098,84717,-62.04606285572748,-62.48274278631227,3760,-37.52005297567848,-43.529542508681644,319108,-83.38358876765473,-81.7223385200284,233297,-91.58951769291205,-89.09431070328593,82334,-62.07434296810774,-62.370430502011644,3477,-37.38325606248923,-43.509223824498285
0.005078947368421,0.015,317045,-68.43782395427814,-67.04024489733234,133140,-80.89638685357971,-78.95442844274865,172139,-60.92468252821264,-60.85302043260973,11766,-37.37982527405362,-43.455221357243175,317044,-68.17378701381932,-66.85001149661824,129901,-80.61311183278515,-78.81038587923616,175551,-61.001270378307076,-60.87736270935343,11592,-37.399264461397344,-43.44874126239687
0.0034210526315789,0.0094736842105263,317750,-66.53518675016369,-65.51123728984938,112625,-78.24532936617295,-76.77449844413997,196410,-61.10504490230215,-60.89144414006435,8715,-37.58273100839051,-43.85497521452335,317767,-66.3651699025719,-65.45017807466336,108429,-77.99295433791552,-76.54038936570579,200756,-61.310925135743936,-61.29705726469717,8582,-37.686647864521625,-43.873098662400935
0.0166842105263157,0.0071052631578947,315441,-57.97817133599756,-58.1095842887108,7595,-72.50644407918925,-71.87391112737008,289630,-58.8602571107473,-58.29665259996917,18216,-37.89578582736199,-44.32269458385132,315466,-57.94380002159233,-58.028772017488116,7953,-72.23630706531301,-71.74918778632107,289233,-58.82139777078929,-58.210173942827964,18280,-37.83994125177866,-44.30382510103114
0.0133684210526315,0.0039473684210526,315795,-56.914870647447444,-57.35644695656809,505,-71.34370219169901,-70.99714874724137,299186,-57.91324389116606,-57.554236653838785,16104,-37.914258549518514,-44.27950181106124,315833,-56.91401447034317,-57.351527286450704,505,-70.81696067981595,-70.73400228325568,299088,-57.92283827933784,-57.543822187677875,16240,-37.90243299125565,-44.33550104503172
-0.0098421052631578,0.0118421052631578,319930,-134.20361534626164,-134.26661802987084,319557,-134.28284127338458,-134.29487885687917,373,-66.32908560459373,-67.06454665787795,0,,,319996,-134.91017089888058,-135.2632291010697,319985,-134.91242384911322,-135.26378110342242,11,-69.37287269811262,-69.26816434374449,0,,
0.0083947368421052,0.0118421052631578,316588,-64.03015241995078,-63.26159401037631,83550,-77.01584661747265,-75.41431938077388,219280,-60.73880948691141,-60.48082615445702,13758,-37.62885340511738,-43.84694441646943,316602,-63.77610912921991,-63.02555418836301,80231,-76.56518612321047,-75.21486335962112,222936,-60.75889526796367,-60.53218310811534,13435,-37.46908665569273,-43.62517110355309
-0.0098421052631578,0.0023684210526315,319996,-135.28613588297188,-135.2980104848878,319996,-135.28613588297188,-135.2980104848878,0,,,0,,,319996,-135.43252900053002,-135.50283882572575,319996,-135.43252900053002,-135.50283882572575,0,,,0,,
0.0166842105263157,0.0063157894736842,315441,-57.566953883174065,-57.77045800317974,4582,-71.92507131800491,-71.5395921944064,292595,-58.56727312114605,-57.99371638109793,18264,-37.939418758294295,-44.35058763682528,315442,-57.50624944256202,-57.74189565128559,4529,-71.90801965768202,-71.62878865711147,292718,-58.50440480895762,-57.96926114161295,18195,-37.86328929719996,-44.33932945388485
0.0166842105263157,0.0102631578947368,315476,-59.698269378372764,-59.454960355984824,28155,-73.99466150922783,-73.29070034471319,268940,-59.70237379007286,-59.210950343088754,18381,-37.73979264006425,-44.02974661235202,315434,-59.661881409530515,-59.349163716757765,26891,-74.07537755228907,-73.1125988170244,270183,-59.712416143959096,-59.12765343156797,18360,-37.80747231764344,-44.0862477474713
0.0001052631578947,0.0,319996,-68.5383575196988,-68.53827006763963,0,,,319996,-68.5383575196988,-68.53827006763963,0,,,319996,-68.5383575196988,-68.53827006763963,0,,,319996,-68.5383575196988,-68.53827006763963,0,,
-0.0048684210526315,0.0102631578947368,319854,-101.65928317344515,-101.68822798118859,301009,-104.12554366910089,-103.25401599185203,18276,-63.044701944783704,-64.01130967331925,569,-37.25415311750018,-43.28548082859744,319897,-101.67954625568277,-102.0160252820175,307041,-103.32421202139393,-102.97891280964309,12473,-63.16689664229359,-64.09742450064516,383,-37.41964353526694,-43.5577313366113
0.0100526315789473,0.0023684210526315,316272,-56.55803317389476,-57.09824117908579,0,,,302409,-57.410828403679744,-57.22368069687373,13863,-37.955064650195446,-44.26979954465209,316292,-56.528586798814956,-57.075854297627984,70,-70.8837227124405,-70.868825032793,302327,-57.3819721191765,-57.20932730100879,13895,-37.88833611418764,-44.24503427833416
0.0166842105263157,0.001578947368421,315328,-55.17756873548659,-56.20862936702356,0,,,297499,-56.2072562389899,-56.3530667204292,17829,-37.995954365374125,-44.38122115468799,315324,-55.18614019363634,-56.239017562582816,0,,,297463,-56.21667131314525,-56.383043614271784,17861,-38.023334169199316,-44.416588317481526
0.02,0.0055263157894736,315039,-56.609461868941125,-57.187081714355315,805,-71.58265352030091,-71.17040419316807,294383,-57.82320539623272,-57.44043736533431,19851,-38.00289897165524,-44.45831186557269,315062,-56.62218022414195,-57.202470387877526,1051,-71.059766782917,-70.85681139404215,294166,-57.83005409989514,-57.4489227111944,19845,-37.953027792391914,-44.406857030031865
0.0133684210526315,0.0007894736842105,315747,-55.21331989382154,-56.328627068724735,0,,,299850,-56.13011685141824,-56.44541751030523,15897,-37.920650350173624,-44.192884867575366,315742,-55.229490161140916,-56.36170423182413,0,,,299867,-56.145982626939315,-56.47142976743108,15875,-37.91762583096326,-44.22183612933695
